,PacketsSent,PacketsReceived,PacketsLost(%),Jitter,Latency,PowerConsumed(W),Th/Wl(%)
T1,8749.0,7977.0,8.823865584638245,0.015247608054977248,0.057032142319056005,4.678007536346168,56.061771113674226
T2,11616.0,10941.0,5.81095041322314,0.0145581063277483,0.05928232234610325,4.727837379839127,54.55570167198948
T3,20380.0,18955.0,6.992149165848871,0.0245845241121337,0.10637725914851212,4.874052234600545,39.41210597563334
T4,18356.0,16970.0,7.5506646328176075,0.01879093939177055,0.07345036306284287,4.8289190264849555,29.783229491173415
T5,29893.0,26945.0,9.861840564680694,0.02069612534720672,0.12411104394736489,5.017092939287962,18.457026426278095
T6,25687.0,23028.0,10.351539689337018,0.6260167327481375,0.4004255167239153,4.9358021709180395,10.58733822438381
T7,41619.0,36027.0,13.436170979600663,0.0232799449655034,0.15162026069086273,5.169412727707463,6.485902718472021
T8,26238.0,22528.0,14.139797240643341,0.01722278475652085,0.08807550615874898,4.876916103475875,5.403390556525751
T9,40351.0,32495.0,19.4691581373448,0.04666002871624273,0.12951575315017425,5.096534203585963,4.193069708186207
T10,32119.0,25316.0,21.180609608020173,0.07403132897390942,0.12216551491449724,4.911113792280211,3.9887486960409317
