,PacketsSent,PacketsReceived,PacketsLost(%),Jitter,Latency,PowerConsumed(W),Th/Wl(%)
T1,14539.0,9658.0,33.571772474035356,0.11492393242284929,0.13356345347655912,7.814741671751047,55.5432457212714
T2,21198.0,15285.0,27.894140956694027,0.0218171023894815,0.1113366638474151,7.9663580437328845,56.33570745189752
T3,33884.0,25219.0,25.5725416125605,0.023078951325926803,0.1882112725555523,8.208963485428125,40.72987787287239
T4,40707.0,29156.0,28.375954995455327,1.2900783217692786,0.8254873576209892,8.339073273909927,28.413976993522446
T5,50903.0,36237.0,28.81166139520264,4.369922562167401,2.406847580259819,8.512950074713915,17.89775324355684
T6,45579.0,30527.0,33.023980341824085,0.026280165993391204,0.1554148530224492,8.28213206719071,11.246742863910931
T7,81095.0,51121.0,36.961588260681914,0.6766845055005424,0.7815468324989371,8.970993098672874,6.314983709296603
T8,52614.0,31651.0,39.84300756452655,0.19591471345469175,0.23388376358525204,8.380333302227752,5.417510996886275
T9,100517.0,54904.0,45.37839370454749,3.2037422493981915,2.073354330480948,9.154600068282996,4.475908544823207
T10,65205.0,36592.0,43.881604171459244,0.3979224600076511,0.3549682934225868,8.514482211447293,4.048742626513505
