,PacketsSent,PacketsSentFLC,PacketsSentRO,PacketsReceived,PacketsReceivedFLC,PacketsReceivedRO,PacketsLost(%),PacketsLostFLC(%),PacketsLostRO(%),Jitter,JitterFLC,JitterRO,Latency,LatencyFLC,LatencyRO,PowerConsumed(W),PowerConsumedFLC(W),PowerConsumedRO(W),Th/Wl(%),Th/WlFLC(%),Th/WlRO(%)
T1,15936.0,15851.0,16050.0,14501.0,14298.0,12634.0,9.004769076305221,9.797489117405842,21.28348909657321,0.020650030711190037,0.0433958601362192,0.018280240759565768,0.09186702933917838,0.1140757172487316,0.06828206189051,4.794096392035624,2.7022914843737906,2.7191324293211663,102.11457131872356,101.56990900935537,102.84505959246444
T2,19829.0,20525.0,22469.0,18554.0,19175.0,20564.0,6.429976297342276,6.577344701583435,8.478347946059015,0.017138913516271212,0.0273926029925808,0.0122074203938239,0.09265544885275913,0.10932417499756938,0.07687198977381814,4.867215253658325,2.7376789692821224,2.823103943576128,93.12887469472102,96.39770805936502,105.52789780199136
T3,50541.0,51321.0,53428.0,43168.0,42090.0,45073.0,14.588156150452107,17.986789033728883,15.63786778468219,0.7779399670123072,0.027636303651472006,0.5132459580747661,0.5804877569515332,0.20789961385567962,0.43712875016326863,5.308743814568121,3.0230691358397888,3.051950252144623,97.73931541287952,99.24772771224134,103.32237478244053
T4,63429.0,63303.0,62340.0,40958.0,40801.0,41670.0,35.4270128805436,35.54649858616495,33.156881616939366,0.09544026932600937,0.0190600126515686,0.019129473942976497,0.17505736062153499,0.15791216398220917,0.2308219389772568,5.26655464955467,3.0016118736839115,3.0640586290257867,102.91569314641744,102.711253894081,101.148753894081
T5,164594.0,164696.0,158656.0,69031.0,69392.0,68245.0,58.05983207164295,57.8666148540341,56.985553650665594,0.2580874119866447,0.0350832388572284,0.013806264504978974,0.3699468650258734,0.24129237384529714,0.236720511569405,5.8030582357156275,3.278441327119913,3.4598870628468337,101.62632748826871,101.68930600148185,97.95999012101754
T6,248135.0,240272.0,247936.0,60405.0,59747.0,58806.0,75.65639671952768,75.13359858826664,76.28178239545689,0.22843515168224168,0.19443945098931797,0.13536201417614682,0.29309935585929126,0.26374655029251376,0.2291830063391396,5.6468655653931705,3.2563828459261686,3.267059242695162,102.27310197015909,99.03223147308549,102.19108070233287
T7,639014.0,639014.0,639014.0,90247.0,98026.0,98348.0,85.87714823149415,84.65980401055376,84.60941387825619,2.016435022490308,8.627910506183557,5.965621208710011,1.7092672554013892,4.1387264155394154,4.0352756237986,6.248726303313129,3.648605686161708,3.597814844691334,99.58390734380163,99.58390734380163,99.58390734380163
T8,483568.0,483568.0,483568.0,88132.0,88302.0,91716.0,81.77464182907057,81.73948648380373,81.03348443238593,0.0867252013673935,0.04140241665127529,0.051180495222753274,0.18968198982992998,0.186328525755659,0.18541468634480554,5.881255132037794,3.3483020318507517,3.520341262821542,99.58482981317341,99.58482981317341,99.58482981317341
T9,958319.0,958319.0,958319.0,79310.0,79087.0,83744.0,91.72405013361939,91.74732004687374,91.26136495258885,0.17483409922522386,0.35547967870089725,0.8935996589963704,0.41817096944054005,0.6806496780114291,0.7290853402529436,6.118380416395909,3.4408092406206303,3.7928196097471223,99.5836130375777,99.5836130375777,99.5836130375777
T10,801888.0,801888.0,801888.0,88344.0,88436.0,90771.0,88.98300011971747,88.97152719581787,88.68033939901832,0.05383630324534325,0.0982958461075756,0.05841690783710086,0.1764808558979416,0.23130182861180235,0.1874634286036147,5.881772522328542,3.4845519515377834,3.5187641560809158,99.58372659083007,99.58372659083007,99.58372659083007
