,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
PacketsSent,1259.0,1690.0,3997.0,5046.0,12997.0,20096.0,51775.0,38126.0,77125.0,67639.0
PacketsSentFLC,1314.0,1775.0,4192.0,4810.0,13072.0,20428.0,51023.0,41098.0,74816.0,67319.0
PacketsSentRO,1266.0,1696.0,4137.0,5017.0,12645.0,18071.0,51137.0,40016.0,73525.0,63565.0
PacketsReceived,1252.0,1682.0,3930.0,4960.0,12650.0,19100.0,49288.0,37142.0,74060.0,64614.0
PacketsReceivedFLC,1307.0,1756.0,4139.0,4705.0,12743.0,19422.0,48708.0,39920.0,71864.0,64757.0
PacketsReceivedRO,1258.0,1652.0,4095.0,3372.0,12059.0,17212.0,48661.0,39147.0,70137.0,34232.0
PacketsLost(%),0.5559968228752978,0.47337278106508873,1.676257192894671,1.7043202536662703,2.6698468877433252,4.9562101910828025,4.803476581361661,2.58091591040235,3.974068071312804,4.47227191413238
PacketsLostFLC(%),0.532724505327245,1.0704225352112675,1.2643129770992367,2.182952182952183,2.516829865361077,4.92461327589583,4.537169511788801,2.8663195289308483,3.9456800684345597,3.8057606322137882
PacketsLostRO(%),0.631911532385466,2.5943396226415096,1.015228426395939,32.788519035280046,4.6342427837089755,4.753472414365558,4.841895300858479,2.1716313474610156,4.607956477388643,46.14646424919374
Jitter,0.006021878337925228,0.006787964499747686,0.009817646636149441,0.013617839149860016,0.010808034848998586,0.017363554349487782,0.2459085752609315,0.016313678819157025,0.06168157445582043,0.014710489083379198
JitterFLC,0.0074505735500100005,0.005259661064255081,0.010784323919324625,0.00829760934178186,0.02085370858858182,0.008266556206592574,0.0181618813959358,0.025987315195847183,0.07279752828822939,0.032812025295378036
JitterRO,0.0070211255649207495,0.006881558567855101,0.012303403385456432,0.007762380678447233,0.006910352405205066,0.013947598542107356,0.024330928502506666,0.0755243774021777,0.017929569841764453,0.018161147972816826
Latency,0.01160089901489835,0.0137605722258645,0.025716642262725,0.033383084215954276,0.06501790632546488,0.07053702514373636,0.26444820550863374,0.08551785582897287,0.20366630163745353,0.12309612089261243
LatencyFLC,0.022717320449779803,0.020709061235110956,0.0396924851460875,0.05907926872394794,0.09206888918232654,0.1006795834145267,0.17532264233635497,0.12895170106071102,0.31601951385843996,0.13399379646617043
LatencyRO,0.012244930394353115,0.017515745986943873,0.020865981085442128,0.03345170983287438,0.05914940525473538,0.08985175341385342,0.1703671980319684,0.16596719136217053,0.1846571999377,0.11006952019859788
PowerConsumed(W),4.557584210840294,4.571533291625167,4.620351184848085,4.662324405606375,4.882016030536958,4.944371813706789,5.380626571688879,4.984046544384671,5.545192305539706,5.2783938122079155
PowerConsumedFLC(W),2.5512237475612967,2.5566648003152066,2.5885284838287967,2.6143706968058797,2.732880590710624,2.8104361552774586,3.038839123936835,2.8408862252861655,3.1919190892209977,3.086858062633216
PowerConsumedRO(W),2.635568955755336,2.6603476941948734,2.6898498350289173,2.659568078255044,2.822865449218413,2.856533114412961,3.281457050797879,2.914495602958171,3.4257245108166257,2.979871217296879
