,PacketsSent,PacketsSentFLC,PacketsSentRO,PacketsReceived,PacketsReceivedFLC,PacketsReceivedRO,PacketsLost(%),PacketsLostFLC(%),PacketsLostRO(%),Jitter,JitterFLC,JitterRO,Latency,LatencyFLC,LatencyRO,PowerConsumed(W),PowerConsumedFLC(W),PowerConsumedRO(W)
T1,2521.0,2556.0,2595.0,1722.0,2319.0,1794.0,31.693772312574374,9.272300469483568,30.86705202312139,0.014900915543155889,0.013556041472198656,0.018302534778844425,0.026143710349524108,0.04016604718494825,0.059159493811524445,7.638057048032746,4.098147216592664,4.135926195240578
T2,3436.0,3469.0,3472.0,2068.0,2960.0,2445.0,39.81373690337602,14.672816373594696,29.579493087557605,0.017007546081811,0.011034701217254266,0.016357907489591584,0.034460451791605555,0.04613866552615289,0.042494596827028566,7.628403817897636,4.113044162037924,4.130034874124423
T3,8335.0,8152.0,8218.0,5075.0,5205.0,5917.0,39.112177564487105,36.15063788027478,27.999513263567778,0.013287514835938333,0.011406414273821568,0.014545252422927368,0.064072018553087,0.05210555058911437,0.09433085399978844,7.7316398090500495,4.14971449351467,4.210469381597621
T4,13235.0,13086.0,13584.0,7680.0,10726.0,6439.0,41.972043823196074,18.034540730551736,52.59864546525324,0.01622613225142872,0.01258744889118703,0.012728953988845616,0.052012244604842224,0.06292941925691387,0.08350053544294125,7.765723338601712,4.221055469716581,4.192180358102534
T5,26289.0,26372.0,24899.0,14156.0,21679.0,19623.0,46.15238312602229,17.795389048991353,21.189606008273426,0.04032300974490028,0.016790564608880842,0.021774202490007825,0.08876680343502277,0.09903757258624421,0.12169915345940877,7.953127495922119,4.384805174601949,4.357382931665999
T6,44898.0,44515.0,42236.0,23743.0,35414.0,33259.0,47.117911710989354,20.4447938897001,21.25438014963538,0.026352016470781874,1.743728032035328,0.013550405531693802,0.09855235650494076,0.8152531869080026,0.14769728929418896,8.145426261079335,4.548109774144995,4.503964210677713
T7,133680.0,131287.0,132047.0,65166.0,92301.0,92721.0,51.25224416517056,29.695247815853815,29.781820109506462,5.890234351553875,0.7932988099284277,1.0527275511358898,9.58137394448545,1.875295571137419,2.2110419775212393,9.413629049301084,5.26941147253912,5.574743983821092
T8,116216.0,114930.0,117284.0,75319.0,92082.0,92489.0,35.19050733117643,19.87992691203341,21.140991098530066,0.07492736121577642,0.3562331487003825,0.0263413679475803,0.342596398768267,0.4391976279892926,0.6546520330126383,9.20774001546287,5.194493191432912,5.215491892361623
T9,251131.0,257707.0,250499.0,69613.0,100354.0,95601.0,72.28020435549574,61.05887694164303,61.83577579152013,3.0235674800144516,4.446747327315847,2.2528661902629965,11.041920557222204,15.341261886152601,7.432728842906929,9.441137758260501,5.547995938351422,5.714567241586625
T10,198988.0,193229.0,194740.0,86185.0,112514.0,105954.0,56.688343015659235,41.77168023433335,45.59207147992195,0.5661378082510324,0.6491240565834814,0.3575938925286511,2.4833191782925637,4.421028944361431,2.4466381643862327,9.561238147810915,5.554205156202829,5.756746414501785
