ID  RSSI  Neighbors  Sources  Throughput
71 -75.6195 3 2 0
141 -78.031 5 0 0
211 -83.8787 5 0 0
281 -77.2775 5 0 0
351 0 3 -1 0
421 -73.9837 4 1 0
491 0 7 -1 0
561 0 8 -1 0
631 0 8 -1 0
701 -72.4297 5 0 0
771 -81.8219 3 2 0
841 0 4 -1 0
4306 -70.9993 4 0 0
4467 -80.8661 5 1 0
4628 -77.9029 3 0 0
71 -76.8794 3 3 0
141 -77.0279 5 4 0
211 -77.7145 5 1 0
281 -76.7876 5 2 0
351 -71.7232 3 0 0
421 -76.199 4 2 0
491 -75.1732 7 1 0
561 -72.0116 8 0 0
631 -70.9635 8 0 0
701 -72.4297 5 0 0
771 -80.0467 3 4 0
841 -76.8185 4 1 0
4306 -77.0192 4 2 0
4467 -78.7028 5 3 0
4628 -73.9345 3 2 0
71 -76.8794 3 3 0.346113
141 -77.0279 5 4 1.77323
211 -77.7145 3 1 0
281 -76.7876 4 2 0.0231446
351 -71.7232 1 0 0
421 -76.199 3 2 0.0269093
491 -75.1732 6 1 0.0226052
561 -72.0116 5 0 0
631 -70.9635 7 0 0
701 -72.4297 2 0 0
771 -80.0467 3 4 0.158495
841 -76.8185 3 1 0.0242609
4306 -77.0192 2 2 0
4467 -78.7028 4 3 0.158495
4628 -73.9345 2 2 0.0242609
71 -76.8794 3 3 1.10947
141 -77.0279 5 4 3.36697
211 -77.7145 4 1 0.0342087
281 -76.7876 4 2 0.0507539
351 -71.7232 2 0 0
421 -76.199 3 2 0.0338249
491 -75.1732 6 1 0.0176471
561 -72.0116 6 0 0
631 -70.9635 4 0 0
701 -72.4297 4 0 0
771 -80.0467 3 4 0.514833
841 -76.8185 2 1 0.0165824
4306 -77.0192 4 2 0
4467 -78.7028 2 3 0.514833
4628 -73.9345 3 2 0.0165824
71 -76.8794 2 3 1.11028
141 -78.1267 2 5 4.9536
281 -77.9559 0 4 0.0410053
421 -76.199 3 2 0.039872
771 -80.0467 2 4 0.535269
841 -76.8185 1 1 0.0136358
4467 -78.7028 1 3 0.535269
4628 -73.9345 1 2 0.0136358
71 -76.8794 2 3 1.27079
141 -78.1267 2 5 5.04713
281 -77.9559 0 4 0.102701
421 -76.199 3 2 0.0337223
771 -80.0467 2 4 0.986801
841 -77.7447 1 2 0.0118266
4467 -78.7028 0 3 0.986801
4628 -73.9345 1 2 0.0118266
71 -76.8794 2 3 1.22141
141 -78.1267 2 5 5.71334
281 -77.9559 0 4 0.125388
421 -76.199 3 2 0.0297516
771 -80.0467 2 4 1.4617
841 -77.7447 1 2 0.00945788
4467 -78.7028 1 3 1.4617
4628 -73.9345 1 2 0.00945788
71 -76.8794 2 3 1.11388
141 -78.1267 2 5 6.15283
281 -77.9559 0 4 0.149492
421 -76.199 2 2 0.0258089
771 -80.0467 2 4 1.74533
841 -77.7447 0 2 0.00834367
4467 -78.7028 1 3 1.74533
4628 -73.9345 1 2 0.00834367
71 -76.8794 1 3 1.31735
141 -78.1267 2 5 6.30248
281 -77.9559 0 4 0.169289
421 -76.199 2 2 0.0297877
771 -80.0467 2 4 1.73587
841 -77.7447 1 2 0.00740718
4467 -78.7028 0 3 1.73587
4628 -73.9345 1 2 0.00740718
71 -76.8794 2 3 1.46304
141 -78.1267 2 5 6.22717
281 -77.9559 0 4 0.18034
421 -76.199 3 2 0.0331044
771 -80.0467 2 4 1.92852
841 -77.7447 1 2 0.00664898
4467 -78.7028 1 3 1.92852
4628 -73.9345 1 2 0.00664898
71 -76.8794 2 3 1.43482
141 -78.1267 2 5 6.35713
281 -77.9559 0 4 0.181308
421 -76.199 3 2 0.0310359
771 -80.0467 2 4 2.19116
841 -77.7447 1 2 0.00616168
4467 -78.7028 1 3 2.19116
4628 -73.9345 1 2 0.00616168
71 -76.8794 2 3 1.38934
141 -78.1267 2 5 6.36828
281 -77.9559 0 4 0.182438
421 -76.199 3 2 0.0345191
771 -80.0467 2 4 2.39453
841 -77.7447 1 2 0.00564554
4467 -78.7028 0 3 2.39453
4628 -73.9345 0 2 0.00564554
71 -76.8794 2 3 1.3983
141 -78.1267 2 5 6.47455
281 -77.9559 0 4 0.184107
421 -76.199 3 2 0.0312584
771 -80.0467 2 4 2.51575
841 -77.7447 1 2 0.00541014
4467 -78.7028 1 3 2.51575
4628 -73.9345 1 2 0.00541014
71 -76.8794 2 3 1.4289
141 -78.1267 1 5 6.68303
281 -77.9559 0 4 0.187434
421 -76.199 2 2 0.0388546
771 -80.0467 2 4 2.5252
841 -77.7447 1 2 0.00488468
4467 -78.7028 1 3 2.5252
4628 -73.9345 1 2 0.00488468
71 -76.8794 2 3 1.36137
141 -78.1267 2 5 6.96811
281 -77.9559 0 4 0.18643
421 -76.199 3 2 0.0358124
771 -80.0467 2 4 2.60461
841 -77.7447 1 2 0.00447651
4467 -78.7028 1 3 2.60461
4628 -73.9345 1 2 0.00447651
71 -76.8794 2 3 1.30525
141 -78.1267 2 5 7.11934
281 -77.9559 0 4 0.184885
421 -76.199 3 2 0.0334972
771 -80.0467 2 4 2.52824
841 -77.7447 1 2 0.0042066
4467 -78.7028 0 3 2.52824
4628 -73.9345 1 2 0.0042066
71 -76.8794 2 3 1.41857
141 -78.1267 2 5 7.18466
281 -77.9559 0 4 0.192122
421 -76.199 3 2 0.0317599
771 -80.0467 2 4 2.54105
841 -77.7447 1 2 0.0039531
4467 -78.7028 1 3 2.54105
4628 -73.9345 1 2 0.0039531
71 -76.8794 2 3 1.40161
141 -78.1267 2 5 7.04398
281 -77.9559 0 4 0.20024
421 -76.199 3 2 0.0333654
771 -80.0467 2 4 2.61349
841 -77.7447 1 2 0.00368794
4467 -78.7028 0 3 2.61349
4628 -73.9345 1 2 0.00368794
71 -76.8794 2 3 1.43809
141 -78.1267 2 5 7.07906
281 -77.9559 0 4 0.197699
421 -76.199 3 2 0.0354488
771 -80.0467 2 4 2.59452
841 -77.7447 1 2 0.00352592
4467 -78.7028 1 3 2.59452
4628 -73.9345 1 2 0.00352592
71 -76.8794 2 3 1.47229
141 -78.1267 2 5 7.21847
281 -77.9559 0 4 0.19294
421 -76.199 3 2 0.0331058
771 -80.0467 2 4 2.57295
841 -77.7447 1 2 0.00341715
4467 -78.7028 1 3 2.57295
4628 -73.9345 1 2 0.00341715
71 -76.8794 2 3 1.44526
141 -78.1267 2 5 7.36136
281 -77.9559 0 4 0.187514
421 -76.199 3 2 0.0317104
771 -80.0467 2 4 2.64494
841 -77.7447 1 2 0.00322576
4467 -78.7028 1 3 2.64494
4628 -73.9345 1 2 0.00322576
71 -76.8794 2 3 1.49056
141 -78.1267 2 5 7.28512
281 -77.9559 0 4 0.187238
421 -76.199 3 2 0.0305122
771 -80.0467 2 4 2.64503
841 -77.7447 1 2 0.00305655
4467 -78.7028 0 3 2.64503
4628 -73.9345 1 2 0.00305655
71 -76.8794 2 3 1.48464
141 -78.1267 2 5 7.37637
281 -77.9559 0 4 0.187505
421 -76.199 2 2 0.0292604
771 -80.0467 1 4 2.58097
841 -77.7447 0 2 0.00288145
4467 -78.7028 1 3 2.58097
4628 -73.9345 0 2 0.00288145
71 -76.8794 2 3 1.51944
141 -78.1267 2 5 7.4714
281 -77.9559 0 4 0.189544
421 -76.199 3 2 0.02768
771 -80.0467 2 4 2.58504
841 -77.7447 1 2 0.00278507
4467 -78.7028 0 3 2.58504
4628 -73.9345 1 2 0.00278507
71 -76.8794 2 3 1.52231
141 -78.1267 2 5 7.49861
281 -77.9559 0 4 0.187005
421 -76.199 3 2 0.0270125
771 -80.0467 2 4 2.57178
841 -77.7447 1 2 0.00265415
4467 -78.7028 1 3 2.57178
4628 -73.9345 1 2 0.00265415
71 -76.8794 2 3 1.68323
141 -78.1267 2 5 7.27752
281 -77.9559 0 4 0.193676
421 -76.199 3 2 0.030951
771 -80.0467 2 4 2.65046
841 -77.7447 1 2 0.00258636
4467 -78.7028 0 3 2.65046
4628 -73.9345 1 2 0.00258636
71 -76.8794 2 3 1.73305
141 -78.1267 2 5 7.21022
281 -77.9559 0 4 0.199651
421 -76.199 3 2 0.0294232
771 -80.0467 2 4 2.64038
841 -77.7447 1 2 0.00248227
4467 -78.7028 0 3 2.64038
4628 -73.9345 0 2 0.00248227
71 -76.8794 2 3 1.71692
141 -78.1267 2 5 7.21385
281 -77.9559 0 4 0.202473
421 -76.199 3 2 0.0284114
771 -80.0467 2 4 2.64604
841 -77.7447 1 2 0.00242038
4467 -78.7028 0 3 2.64604
4628 -73.9345 1 2 0.00242038
71 -76.8794 2 3 1.68805
141 -78.1267 2 5 7.21631
281 -77.9559 0 4 0.199034
421 -76.199 2 2 0.0278746
771 -80.0467 2 4 2.70122
841 -77.7447 0 2 0.00228893
4467 -78.7028 0 3 2.70122
4628 -73.9345 1 2 0.00228893
71 -76.8794 2 3 1.63414
141 -78.1267 2 5 7.24287
281 -77.9559 0 4 0.198318
421 -76.199 3 2 0.026764
771 -80.0467 2 4 2.75688
841 -77.7447 1 2 0.00223542
4467 -78.7028 1 3 2.75688
4628 -73.9345 1 2 0.00223542
71 -76.8794 2 3 1.70253
141 -78.1267 2 5 7.1924
281 -77.9559 0 4 0.200648
421 -76.199 3 2 0.0257044
771 -80.0467 2 4 2.7045
841 -77.7447 1 2 0.00214731
4467 -78.7028 1 3 2.7045
4628 -73.9345 1 2 0.00214731
71 -76.8794 2 3 1.75325
141 -78.1267 2 5 7.12581
281 -77.9559 0 4 0.205971
421 -76.199 3 2 0.0270972
771 -80.0467 2 4 2.72698
841 -77.7447 1 2 0.00209211
4467 -78.7028 1 3 2.72698
4628 -73.9345 1 2 0.00209211
71 -76.8794 2 3 1.81096
141 -78.1267 1 5 7.15441
281 -77.9559 0 4 0.206683
421 -76.199 2 2 0.0284794
771 -80.0467 2 4 2.66679
841 -77.7447 1 2 0.0020192
4467 -78.7028 0 3 2.66679
4628 -73.9345 1 2 0.0020192
71 -76.8794 2 3 1.87488
141 -78.1267 2 5 7.17244
281 -77.9559 0 4 0.20641
421 -76.199 3 2 0.02735
771 -80.0467 2 4 2.62703
841 -77.7447 1 2 0.0019509
4467 -78.7028 1 3 2.62703
4628 -73.9345 1 2 0.0019509
71 -76.8794 2 3 1.87583
141 -78.1267 2 5 7.20161
281 -77.9559 0 4 0.207864
421 -76.199 3 2 0.0265913
771 -80.0467 2 4 2.6069
841 -77.7447 1 2 0.00192496
4467 -78.7028 0 3 2.6069
4628 -73.9345 1 2 0.00192496
71 -76.8794 2 3 1.87393
141 -78.1267 2 5 7.21962
281 -77.9559 0 4 0.208749
421 -76.199 3 2 0.0280839
771 -80.0467 1 4 2.65181
841 -77.7447 1 2 0.00184865
4467 -78.7028 0 3 2.65181
4628 -73.9345 1 2 0.00184865
71 -76.8794 2 3 1.92688
141 -78.1267 1 5 7.21904
281 -77.9559 0 4 0.214221
421 -76.199 2 2 0.0273142
771 -80.0467 2 4 2.65513
841 -77.7447 1 2 0.00181443
4467 -78.7028 1 3 2.65513
4628 -73.9345 1 2 0.00181443
71 -76.8794 2 3 1.93116
141 -78.1267 2 5 7.20915
281 -77.9559 0 4 0.214671
421 -76.199 2 2 0.0279348
771 -80.0467 2 4 2.66366
841 -77.7447 0 2 0.00175265
4467 -78.7028 1 3 2.66366
4628 -73.9345 1 2 0.00175265
71 -76.8794 2 3 1.92528
141 -78.1267 2 5 7.18906
281 -77.9559 0 4 0.213688
421 -76.199 3 2 0.0291082
771 -80.0467 2 4 2.68903
841 -77.7447 1 2 0.00171342
4467 -78.7028 1 3 2.68903
4628 -73.9345 1 2 0.00171342
71 -76.8794 2 3 1.88796
141 -78.1267 2 5 7.2268
281 -77.9559 0 4 0.221575
421 -76.199 3 2 0.0286576
771 -80.0467 2 4 2.72295
841 -77.7447 1 2 0.00166291
4467 -78.7028 0 3 2.72295
4628 -73.9345 1 2 0.00166291
71 -76.8794 2 3 1.89476
141 -78.1267 2 5 7.20875
281 -77.9559 0 4 0.222855
421 -76.199 2 2 0.0275124
771 -80.0467 2 4 2.76113
841 -77.7447 0 2 0.00162306
4467 -78.7028 1 3 2.76113
4628 -73.9345 1 2 0.00162306
71 -76.8794 2 3 1.89975
141 -78.1267 2 5 7.25677
281 -77.9559 0 4 0.223873
421 -76.199 2 2 0.0268275
771 -80.0467 2 4 2.75915
841 -77.7447 0 2 0.00158604
4467 -78.7028 1 3 2.75915
4628 -73.9345 1 2 0.00158604
71 -76.8794 2 3 1.92377
141 -78.1267 2 5 7.24793
281 -77.9559 0 4 0.225086
421 -76.199 3 2 0.0263395
771 -80.0467 2 4 2.7771
841 -77.7447 1 2 0.00154118
4467 -78.7028 1 3 2.7771
4628 -73.9345 1 2 0.00154118
71 -76.8794 1 3 1.9232
141 -78.1267 2 5 7.27762
281 -77.9559 0 4 0.225309
421 -76.199 2 2 0.0256176
771 -80.0467 2 4 2.75864
841 -77.7447 1 2 0.0105342
4467 -78.7028 0 3 2.75864
4628 -73.9345 1 2 0.0105342
71 -76.8794 2 3 1.93204
141 -78.1267 2 5 7.22951
281 -77.9559 0 4 0.2262
421 -76.199 3 2 0.0250992
771 -80.0467 2 4 2.73603
841 -77.7447 1 2 0.0191309
4467 -78.7028 0 3 2.73603
