,PacketsSent,PacketsReceived,PacketsLost(%),Jitter,Latency,PowerConsumed(W),Th/Wl(%),PacketsSentRO,PacketsReceivedRO,PacketsLostRO(%),JitterRO,LatencyRO,PowerConsumedRO(W),Th/WlRO(%),PacketsSentFLC,PacketsReceivedFLC,PacketsLostFLC(%),JitterFLC,LatencyFLC,PowerConsumedFLC(W),Th/WlFLC(%)
T1,9915.0,8926.0,9.974785678265254,0.09614170219720436,0.09366989154927162,7.726593638193617,68.40761694494273,9984.0,7663.0,23.247195512820515,0.02709127046317926,0.13088295040597117,4.180927474696917,68.88367600386367,10131.0,9068.0,10.492547626098114,0.02679218544243771,0.06801791917430128,4.314946695794621,69.89788878156479
T2,14900.0,13441.0,9.791946308724832,0.0563539817071625,0.10207875488347075,7.827539332943624,69.41856131196423,14875.0,11289.0,24.107563025210084,0.11835638169879201,0.10128493523874399,4.203465895106214,69.30208721580321,14889.0,13358.0,10.282759083887434,0.031045022284361123,0.080438830244132,4.375322120266037,69.36731270965338
T3,26111.0,23912.0,8.421737964842404,0.3150521711795046,0.27831253042944765,8.011282951127244,70.53214478660183,25972.0,23824.0,8.270445094717388,0.3368679067910514,0.213397582679187,4.352785610820403,70.15667206915181,25621.0,22989.0,10.272823074821435,0.0322807224805931,0.1148051292578001,4.480418927360748,69.2085359265262
T4,30304.0,27430.0,9.48389651531151,0.11180395388478352,0.16822963045762251,8.103603577924249,71.10944246292472,28075.0,25306.0,9.862867319679431,0.14671787040849216,0.21026145867760448,4.393414532214138,65.8790125774357,29764.0,26392.0,11.329122429780943,0.019285506836515302,0.1347920343725735,4.541373607149361,69.84231274638633
T5,31613.0,28094.0,11.131496536235094,0.11392582823083768,0.16023712713132135,8.15398561399545,71.97859744990893,30556.0,26838.0,12.16782301348344,0.24653798542351138,0.2482912707588419,4.42079963003899,69.57194899817851,32135.0,28977.0,9.827291115606037,0.8399473829864954,0.4998316990234354,4.597704163039293,73.16712204007285
T6,29432.0,27253.0,7.4035063876053275,0.08402197574417186,0.14685338044159751,8.055177429847754,72.49261083743842,26783.0,24912.0,6.985774558488593,0.03862805599722301,0.10580633556808762,4.3698272362352855,65.9679802955665,27691.0,25740.0,7.045610487161894,0.12457334395610158,0.1637164283977094,4.4902799229584085,68.20443349753694
T7,61008.0,53912.0,11.631261473905061,0.6476146801716499,0.5290811037698524,8.637532915729222,69.85115640027479,60033.0,46844.0,21.969583395798978,0.42399500288051334,0.312831975888026,4.611957559092548,68.7348294023357,62524.0,56062.0,10.335231271191862,0.14369767862121632,0.3210204635735613,4.896299826589787,71.58690176322418
T8,28544.0,25495.0,10.681754484304932,0.10746201600366667,0.13996898858305504,8.06093894735336,69.06697638404955,27247.0,23942.0,12.129775755129005,0.430126402489028,0.22745942222641063,4.335790271547664,65.92866821525358,28845.0,26398.0,8.483272664239903,0.028817988621405333,0.11352834402964669,4.547109782639465,69.79529616724739
T9,74075.0,65466.0,11.622004724940938,0.6742682819235547,0.6347798815032005,8.907276693781743,78.30503816148332,68403.0,58173.0,14.95548440857857,0.43154447656342154,0.4975436409690635,4.878257170248162,72.30913972811264,67430.0,60243.0,10.658460625834199,1.2522105307840283,0.845887460968567,4.982669403031165,71.28057675637963
T10,46827.0,43154.0,7.843765349050761,0.08398049208768793,0.1708848038445235,8.354969437304787,68.96465390279823,49171.0,32751.0,33.39366699884078,0.03696023796181848,0.13078111165881118,4.451632919711415,72.41678939617084,47719.0,44515.0,6.714306670299043,0.02783319615864767,0.35807111353649035,4.703395642461783,70.27835051546391
