,PacketsSent,PacketsReceived,PacketsLost(%),Jitter,Latency,PowerConsumed(W),Th/Wl(%)
T1,8380.0,3979.0,52.517899761336515,0.7759197371747254,4.956314513363044,6.916069209676497,53.69729591182878
T2,11857.0,3593.0,69.69722526777431,0.9330440030445766,15.395417128285159,7.0680208357005805,55.68758219049408
T3,20603.0,6277.0,69.53356307333884,0.6741819672367934,13.30442527811511,7.019498577530832,39.84335718429704
T4,18223.0,3531.0,80.62338802612084,0.4920003882584012,4.937861922840208,7.078032646939918,29.567432502596056
T5,28687.0,2919.0,89.82465925332032,1.4979226220153452,16.875430330954885,7.0683433508988776,17.71239812299333
T6,26340.0,4069.0,84.55201214882308,2.492277586741424,25.265088158462618,7.084302282139129,10.856483389662847
T7,39887.0,4177.0,89.52791636372753,1.0381585145237753,14.748601594222736,7.135346651818835,6.2159879317545705
T8,25685.0,1918.0,92.53260657971579,1.010582223075773,11.880438246940528,6.741810824761084,5.289507067778181
T9,39193.0,4374.0,88.83984384966703,1.1271267767103905,17.44379917428854,7.082891190484334,4.072736266088623
T10,33117.0,3437.0,89.62164447262735,0.46429616924925127,7.496214540604521,6.683781913602873,4.112686900799762
