,PacketsSent,PacketsSentFLC,PacketsSentRO,PacketsReceived,PacketsReceivedFLC,PacketsReceivedRO,PacketsLost(%),PacketsLostFLC(%),PacketsLostRO(%),Jitter,JitterFLC,JitterRO,Latency,LatencyFLC,LatencyRO,PowerConsumed(W),PowerConsumedFLC(W),PowerConsumedRO(W),Th/Wl(%),Th/WlFLC(%),Th/WlRO(%)
T1,15666.0,15666.0,15666.0,15384.0,15415.0,15513.0,1.800076599004213,1.602195838120771,0.9766373037150518,0.011682829585674563,0.02600891665314608,0.009956531371663087,0.017286793136555373,0.027931858064418003,0.017412824790153627,4.889494098190872,2.767725979150161,2.78514532399062,100.38446751249519,100.38446751249519,100.38446751249519
T2,21208.0,21208.0,21208.0,21052.0,21044.0,21082.0,0.7355714824594493,0.7732930969445492,0.5941154281403244,0.014736532468780348,0.01028265550439,0.00962012896632968,0.022269436512616002,0.0185395265097082,0.02095407699193,5.023902671594624,2.8164958236004622,2.866882268543077,99.60548562840503,99.60548562840503,99.60548562840503
T3,51515.0,51515.0,51515.0,49436.0,48553.0,50154.0,4.035717752111036,5.749781617004756,2.641948946908667,0.3735282623350617,0.42583509368026007,0.013734106022205768,0.1997834077849295,0.23025015036055363,0.016907676482761716,5.667150974486829,3.218421043534333,3.3034545345041653,99.62289692515954,99.62289692515954,99.62289692515954
T4,61378.0,61378.0,61378.0,57676.0,57979.0,57993.0,6.0314770764769134,5.537814852227182,5.515005376519274,0.13395831143177642,0.0167043468295576,0.48960545786684,0.0864157077208575,0.026890136408268667,0.2598815342136437,5.778873717937502,3.240657276577584,3.475218405554915,99.5878764278297,99.5878764278297,99.5878764278297
T5,161292.0,161292.0,161292.0,86460.0,88755.0,97551.0,46.39535748828212,44.97247228628822,39.519009002306376,0.3740868683294739,6.372497557596691,0.0618181216539578,0.749452603961884,3.3402664649245972,0.2736648015188354,6.214973006975545,3.574186462659539,3.740554691457377,99.58755248209434,99.58755248209434,99.58755248209434
T6,241613.0,241613.0,241613.0,78456.0,80119.0,82690.0,67.52823730511189,66.83994652605612,65.7758481538659,0.3272515627384437,0.323789445520143,0.23215169609803726,0.4915397968035019,0.6471959243782994,0.45776126878864576,6.106668922884834,3.4389348966512445,3.7742158667568333,99.58494765476877,99.58494765476877,99.58494765476877
T7,639014.0,639014.0,639014.0,90682.0,99852.0,97390.0,85.80907460556419,84.37405127274207,84.75933234639616,0.32399534096568156,5.184519968476592,0.9224948449896899,3.5435091194000266,6.7883072516272955,4.802911327899716,6.252619426206081,3.773903447157621,3.565091037693249,99.58390734380163,99.58390734380163,99.58390734380163
T8,483568.0,483568.0,483568.0,88075.0,88302.0,91716.0,81.7864292095424,81.73948648380373,81.03348443238593,0.03899298823955946,0.06748254260905487,0.07573063393674985,0.6917973824062985,0.7881383529719505,0.7709912148889384,5.880436768688128,3.3483020318507517,3.520341262821542,99.58482981317341,99.58482981317341,99.58482981317341
T9,958319.0,958319.0,958319.0,79310.0,79262.0,83593.0,91.72405013361939,91.72905890418535,91.27712170999428,0.1764955140029765,0.4364303742343652,0.7409601369293767,1.6693077397630676,2.628780289772797,1.9741981592322084,6.118380416395909,3.444502870268711,3.788226553616376,99.5836130375777,99.5836130375777,99.5836130375777
T10,801888.0,801888.0,801888.0,88609.0,88436.0,90771.0,88.94995311065884,88.97152719581787,88.68033939901832,0.019701256869801766,0.120911941146352,0.08545733372668472,0.6901799785338557,0.9299706742583941,0.7719189101776947,5.882861061945709,3.4845519515377834,3.5187641560809158,99.58372659083007,99.58372659083007,99.58372659083007
