,PacketsSent,PacketsSentFLC,PacketsSentRO,PacketsReceived,PacketsReceivedFLC,PacketsReceivedRO,PacketsLost(%),PacketsLostFLC(%),PacketsLostRO(%),Jitter,JitterFLC,JitterRO,Latency,LatencyFLC,LatencyRO,PowerConsumed(W),PowerConsumedFLC(W),PowerConsumedRO(W),Th/Wl(%),Th/WlFLC(%),Th/WlRO(%)
T1,10284.0,10284.0,10284.0,10283.0,10280.0,10260.0,0.009723842862699339,0.038895371450797356,0.23337222870478413,0.0071120722298374335,0.006579929449553899,0.0061418288032764334,0.010280229330137199,0.009846180162444367,0.009631502879599433,1.6440925838007086,1.1170511320246665,1.108858118792125,99.61255327392483,99.61255327392483,99.61255327392483
T2,10530.0,10530.0,10530.0,10529.0,10530.0,10511.0,0.00949667616334283,0.0,0.18043684710351376,0.0032131892493590334,0.004672773443920967,0.0020431427812757,0.0081272898483991,0.011821880636371166,0.004826165239432367,1.638659438440042,1.1059902089425406,1.105457085789582,99.60272417707151,99.60272417707151,99.60272417707151
T3,31320.0,31320.0,31320.0,31316.0,31293.0,31255.0,0.01277139208173691,0.08620689655172414,0.20753512132822477,0.004805131312462334,0.0028257700689650667,0.0026536852187015333,0.007900393682269233,0.0057942596517094,0.005435255353186234,1.8772854616563337,1.2813631563980834,1.2807216551501672,99.59931310818546,99.59931310818546,99.59931310818546
T4,40807.0,40807.0,40807.0,40789.0,40790.0,40727.0,0.04411007915308648,0.04165951920013723,0.1960447962359399,0.0045914142551150335,0.00331602652510965,0.0022782831933501335,0.0071868696259335995,0.008156819629447233,0.004751691394810566,2.0179929101468344,1.3848427709750013,1.3844722242288336,99.58756345177665,99.58756345177665,99.58756345177665
T5,80187.0,80187.0,80187.0,80171.0,80172.0,79961.0,0.019953359023283077,0.018706274084327883,0.28184119620387343,0.007726983454659465,0.01675446922679437,0.0055840326415117665,0.00938041773074,0.0121010570701282,0.006870583299025166,2.464801130717916,1.7217635115089593,1.7204261426771665,941.1619718309859,941.1619718309859,941.1619718309859
T6,240301.0,240301.0,240301.0,113277.0,111071.0,12018.0,52.86037095143175,53.77838627388151,94.99877237298222,0.06617335162492104,0.04478300716972459,0.11270971310073101,0.5087183089572274,0.58869010158034,0.3444966066310653,2.8821475268960417,2.0425808074420844,1.6418226860200416,99.58434174319531,99.58434174319531,99.58434174319531
T7,480407.0,480407.0,480407.0,117652.0,122180.0,89508.0,75.50993220331927,74.56739806039462,81.36829813054348,0.7682345532470101,2.9187183145524025,1.373447060366454,6.287650638182474,14.283631328632369,9.28845572340411,2.9127105457650826,2.1962273028467507,1.8261347281335418,99.58396729779815,99.58396729779815,99.58396729779815
T8,479884.0,479884.0,479884.0,122319.0,126475.0,69619.0,74.51071508947996,73.64467246251178,85.49253569612657,2.675262712392417,0.025971648439332334,1.5392289949765487,9.131632741920795,0.7871136951163096,13.31176499702775,2.8976910101196247,2.239824632688749,1.6256905872120417,99.58413573278438,99.58413573278438,99.58413573278438
T9,320931.0,320931.0,320931.0,123231.0,84371.0,83547.0,61.602026603849424,73.71054837332635,73.96730138254017,0.032169163820964,0.031023966720216633,0.0226618565461715,0.3585634837541893,0.5357420232224329,0.549756607078367,2.7364116999338326,1.7417738073222495,1.6207940749175842,99.58389186773906,99.58389186773906,99.58389186773906
T10,402219.0,402219.0,402219.0,116507.0,80672.0,79036.0,71.03393922216505,79.94326473886117,80.35000832879601,0.03346880222384233,0.0215591073189038,0.026555065763831664,0.3739197663472053,0.5686367130664544,0.5651170567117444,2.7080887565987912,1.7202517717984998,1.610740193279791,99.58380787323595,99.58380787323595,99.58380787323595
