ID  RSSI  Neighbors  Sources  Throughput
66 -79.6143 2 1 0
136 0 3 -1 0
206 -78.0387 3 1 0
276 0 3 -1 0
346 -76.3481 2 0 0
416 -78.7929 3 0 0
486 -79.3869 4 1 0
556 -81.4228 4 0 0
626 -75.0868 4 0 0
696 -80.7799 3 0 0
766 -77.5944 2 0 0
836 0 3 -1 0
3846 0 3 -1 0
4007 -80.1264 3 0 0
4168 -78.6007 2 1 0
66 -79.5241 2 2 0
136 -75.5795 3 0 0
206 -78.0387 3 1 0
276 -79.3102 3 2 0
346 -78.4079 2 1 0
416 -77.9168 3 3 0
486 -79.3869 4 1 0
556 -78.4277 4 1 0
626 -75.0868 4 0 0
696 -79.6536 3 2 0
766 -77.5944 2 0 0
836 -79.2213 3 2 0
3846 -79.2364 3 2 0
4007 -79.104 3 2 0
4168 -78.6007 2 1 0
66 -79.5241 2 2 1.98898
136 -75.5795 3 0 0
206 -78.0387 3 1 32.0911
276 -79.3102 3 2 0
346 -78.4079 2 1 0
416 -77.9168 3 3 5.95075
486 -79.3869 4 1 0
556 -78.4277 4 1 53.1803
626 -75.0868 4 0 0
696 -79.6536 3 2 1.7084
766 -77.5944 2 0 0
836 -79.2213 3 2 1.01714
3846 -79.2364 3 2 0
4007 -79.104 3 2 1.78812
4168 -78.6007 2 1 3.2013
66 -79.5241 2 2 1.31695
136 -75.5795 3 0 0
206 -78.0387 3 1 26.1574
276 -79.3102 3 2 0
346 -78.4079 2 1 0
416 -77.9168 3 3 4.726
486 -79.3869 4 1 0
556 -78.4277 4 1 43.3209
626 -75.0868 4 0 0
696 -79.6536 3 2 1.46927
766 -77.5944 2 0 0
836 -79.2213 3 2 0.627011
3846 -79.2364 3 2 0
4007 -79.104 3 2 1.39
4168 -78.6007 2 1 2.01868
66 -79.5241 1 2 1.01455
206 -78.0387 2 1 24.9077
276 -79.3102 3 2 0
346 -78.4079 2 1 1.00752
416 -77.9168 3 3 20.0091
486 -79.3869 3 1 0
556 -78.4277 4 1 30.6337
626 -75.0868 4 0 0
696 -79.6536 3 2 1.02026
766 -77.5944 2 0 0
836 -79.2213 3 2 0.513021
3846 -79.2364 3 2 0
4007 -79.104 3 2 1.12947
4168 -78.6007 2 1 4.16987
66 -79.5241 1 2 0.861191
206 -78.0387 2 1 19.4066
276 -79.3102 3 2 0
346 -78.4079 2 1 0.858315
416 -77.9168 3 3 15.519
486 -79.3869 3 1 0
556 -78.4277 4 1 26.6715
626 -75.0868 4 0 0
696 -79.6536 3 2 0.861043
766 -77.5944 2 0 0
836 -79.2213 3 2 0.44784
3846 -79.2364 3 2 0
4007 -79.104 3 2 0.860265
4168 -78.6007 2 1 3.45437
66 -79.5241 1 2 0.727938
206 -78.0387 2 1 19.6784
276 -79.3102 3 2 0
346 -78.4079 2 1 0.72248
416 -77.9168 3 3 26.4994
486 -79.3869 3 1 0
556 -78.4277 4 1 23.6317
626 -75.0868 4 0 0
696 -79.6536 3 2 0.782342
766 -77.5944 2 0 0
836 -79.2213 3 2 0.785367
3846 -79.2364 3 2 0
4007 -79.104 3 2 0.746676
4168 -78.6007 2 1 8.58098
66 -79.5241 1 2 0.627316
206 -78.0387 2 1 17.2156
276 -79.3102 3 2 0
346 -78.4079 2 1 0.628201
416 -77.9168 3 3 23.5313
486 -79.3869 3 1 0
556 -78.4277 4 1 20.8645
626 -75.0868 4 0 0
696 -79.6536 3 2 0.641553
766 -77.5944 2 0 0
836 -79.2213 3 2 0.63542
3846 -79.2364 3 2 0
4007 -79.104 3 2 0.634786
4168 -78.6007 2 1 8.08161
66 -79.5241 1 2 0.569651
206 -78.0387 2 1 24.8308
276 -79.3102 3 2 0
346 -78.4079 2 1 0.558378
416 -77.9168 3 3 44.4753
486 -79.3869 3 1 0
556 -78.4277 4 1 20.5635
626 -75.0868 4 0 0
696 -79.6536 3 2 1.49628
766 -77.5944 2 0 0
836 -79.2213 3 2 0.5803
3846 -79.2364 3 2 0.871172
4007 -79.104 3 2 0.559615
4168 -78.6007 2 1 9.42862
66 -79.5241 1 2 0.507256
206 -78.0387 2 1 22.9896
276 -79.3102 3 2 0
346 -78.4079 2 1 0.5169
416 -77.9168 3 3 39.4226
486 -79.3869 3 1 0
556 -78.4277 4 1 17.5869
626 -75.0868 4 0 0
696 -79.6536 3 2 1.25133
766 -77.5944 2 0 0
836 -79.2213 3 2 0.51557
3846 -79.2364 3 2 0.765478
4007 -79.104 3 2 0.513773
4168 -78.6007 2 1 8.37083
66 -79.5241 1 2 0.48009
206 -79.0826 1 2 23.2367
346 -79.2209 1 2 0.469746
416 -77.9168 3 3 39.5982
486 -79.3869 3 1 0
556 -78.4277 4 1 25.8761
626 -75.0868 3 0 0
696 -79.6536 3 2 1.14314
766 -77.5944 2 0 0
836 -79.2213 3 2 0.457704
3846 -79.2364 3 2 2.5637
4007 -79.104 3 2 0.459213
4168 -78.6007 2 1 7.90465
66 -79.5241 1 2 0.419107
206 -79.0826 1 2 28.0247
346 -79.2209 1 2 0.42331
416 -77.9168 3 3 36.2599
486 -79.3869 3 1 0
556 -78.4277 4 1 23.9935
626 -75.0868 3 0 0
696 -79.6536 3 2 1.08693
766 -77.5944 2 0 0
836 -79.2213 3 2 0.428978
3846 -79.2364 3 2 2.4118
4007 -79.104 3 2 0.421116
4168 -78.6007 2 1 6.98314
66 -79.5241 1 2 0.38676
206 -79.0826 1 2 25.4507
346 -79.2209 1 2 0.794762
416 -77.9168 3 3 37.7555
486 -79.3869 3 1 0
556 -78.4277 4 1 23.913
626 -75.0868 3 0 0
696 -79.6536 3 2 1.35608
766 -77.5944 2 0 0
836 -79.2213 3 2 0.385279
3846 -79.2364 3 2 7.74017
4007 -79.104 3 2 0.398471
4168 -78.6007 2 1 7.02054
66 -79.5241 1 2 0.359778
206 -79.0826 1 2 24.4993
346 -79.2209 1 2 0.726642
416 -77.9168 3 3 35.7884
486 -79.3869 3 1 0
556 -78.4277 4 1 22.1895
626 -75.0868 3 0 0
696 -79.6536 3 2 1.30041
766 -77.5944 2 0 0
836 -79.2213 3 2 0.357569
3846 -79.2364 3 2 7.09798
4007 -79.104 3 2 0.364108
4168 -78.6007 2 1 6.67496
66 -79.5241 1 2 0.346505
206 -79.0826 1 2 31.1214
346 -79.2209 1 2 0.672159
416 -77.9168 3 3 37.1133
486 -79.3869 3 1 0
556 -78.4277 4 1 21.0425
626 -75.0868 3 0 0
696 -79.6536 3 2 1.22002
766 -77.5944 2 0 0
836 -79.2213 3 2 0.334124
3846 -79.2364 3 2 8.01191
4007 -79.104 3 2 0.334803
4168 -78.6007 2 1 8.25396
66 -79.5241 1 2 0.31741
206 -79.0826 1 2 28.7267
346 -79.2209 1 2 0.626364
416 -77.9168 3 3 35.6868
486 -79.3869 3 1 0
556 -78.4277 4 1 19.9049
626 -75.0868 3 0 0
696 -79.6536 3 2 1.11333
766 -77.5944 2 0 0
836 -79.2213 3 2 0.31697
3846 -79.2364 3 2 7.62729
4007 -79.104 3 2 0.317213
4168 -78.6007 2 1 7.71477
66 -79.5241 1 2 0.297268
206 -79.0826 1 2 29.1963
346 -79.2209 1 2 0.597537
416 -77.9168 2 3 39.9332
556 -78.3837 3 2 19.4092
626 -75.0868 3 0 0
696 -79.6536 3 2 1.76966
766 -77.5944 2 0 0
836 -79.2213 2 2 0.306602
3846 -79.2364 3 2 7.10759
4007 -79.104 3 2 0.294696
4168 -78.6007 2 1 11.2679
66 -79.5241 1 2 0.284479
206 -79.0826 1 2 27.6805
346 -79.2209 1 2 0.566253
416 -77.9168 2 3 38.3032
556 -78.3837 3 2 17.9446
626 -75.0868 3 0 0
696 -79.6536 3 2 1.67462
766 -77.5944 2 0 0
836 -79.2213 2 2 0.283822
3846 -79.2364 3 2 6.76148
4007 -79.104 3 2 0.284108
4168 -78.6007 2 1 10.5879
66 -79.5241 1 2 0.269723
206 -79.0826 1 2 26.1678
346 -79.2209 1 2 0.535899
416 -77.9168 2 3 41.643
556 -78.3837 3 2 17.3334
626 -75.0868 3 0 0
696 -79.6536 3 2 1.61662
766 -77.5944 2 0 0
836 -79.2213 2 2 0.272016
3846 -79.2364 3 2 6.85196
4007 -79.104 3 2 0.268562
4168 -78.6007 2 1 11.1508
66 -79.5241 1 2 0.258508
206 -79.0826 1 2 24.4308
346 -79.2209 1 2 0.505048
416 -77.9168 2 3 39.2662
