ID  RSSI  Neighbors  Sources  Throughput
712 0 2 -1 0
783 0 3 -1 0
854 -70.4426 2 0 0
1653 -83.5946 3 0 0
1815 -70.7045 4 0 0
1977 -76.5574 3 0 0
2139 -70.9715 2 0 0
2301 -82.0243 3 1 0
2463 -77.2951 2 1 0
712 -77.625 2 1 0
783 -76.1378 3 1 0
854 -70.4426 2 0 0
1653 -77.289 3 1 0
1815 -70.7045 4 0 0
1977 -77.4291 3 3 0
2139 -78.9486 2 2 0
2301 -79.2026 3 3 0
2463 -77.2951 2 1 0
712 -77.625 2 1 0.472238
783 -76.1378 3 1 0.11339
854 -70.4426 2 0 0
1653 -77.289 3 1 0.0226817
1815 -70.7045 4 0 0
1977 -77.4291 3 3 0.794043
2139 -78.9486 2 2 1.20087
2301 -79.2026 3 3 0.023525
2463 -77.2951 2 1 0.0233217
712 -77.625 2 1 1.51242
783 -76.1378 3 1 0.0761267
854 -70.4426 2 0 0
1653 -77.289 3 1 0.0170463
1815 -70.7045 4 0 0
1977 -77.4291 3 3 1.65892
2139 -78.9486 2 2 1.55896
2301 -79.2026 3 3 0.0187968
2463 -77.2951 2 1 0.0175376
712 -77.625 1 1 2.16717
783 -76.1378 1 1 0.052986
1977 -77.4291 0 3 1.9016
2139 -80.108 0 3 1.52189
2301 -78.8596 1 4 0.0143947
712 -77.625 1 1 2.13111
783 -76.1378 1 1 0.0455107
1977 -77.4291 0 3 2.36908
2139 -80.108 1 3 2.13179
2301 -78.8596 1 4 0.0123402
712 -77.625 1 1 1.90088
783 -76.1378 1 1 0.0401097
1977 -77.4291 0 3 2.48394
2139 -80.108 1 3 2.1589
2301 -78.8596 1 4 0.010143
712 -77.625 1 1 2.38728
783 -76.1378 1 1 0.0333007
1977 -77.4291 0 3 2.45825
2139 -80.108 1 3 2.37347
2301 -78.8596 1 4 0.00840429
712 -77.625 1 1 2.38544
783 -76.1378 1 1 0.0312302
1977 -77.4291 0 3 2.46312
2139 -80.108 1 3 2.48365
2301 -78.8596 1 4 0.00739223
712 -77.625 1 1 2.45609
783 -76.1378 1 1 0.026816
1977 -77.4291 0 3 2.63275
2139 -80.108 1 3 2.60155
2301 -78.8596 1 4 0.00681762
712 -77.625 0 1 2.45467
783 -76.1378 1 1 0.0306639
1977 -77.4291 0 3 2.81031
2139 -80.108 1 3 2.51951
2301 -78.8596 1 4 0.00638112
712 -77.625 1 1 2.24726
783 -76.1378 1 1 0.0283413
1977 -77.4291 0 3 2.71269
2139 -80.108 1 3 2.71406
2301 -78.8596 1 4 0.00577888
712 -77.625 1 1 2.19863
783 -76.1378 1 1 0.0369517
1977 -77.4291 0 3 2.76135
2139 -80.108 1 3 2.61792
2301 -78.8596 1 4 0.00523934
712 -77.625 1 1 2.41025
783 -76.1378 1 1 0.0348812
1977 -77.4291 0 3 2.73034
2139 -80.108 1 3 2.78945
2301 -78.8596 1 4 0.00494048
712 -77.625 1 1 2.25386
783 -76.1378 1 1 0.0491978
1977 -77.4291 0 3 2.76906
2139 -80.108 1 3 2.89379
2301 -78.8596 1 4 0.00444304
712 -77.625 1 1 2.37793
783 -76.1378 1 1 0.0457696
1977 -77.4291 0 3 2.78578
2139 -80.108 1 3 2.81766
2301 -78.8596 1 4 0.00426536
712 -77.625 1 1 2.50541
783 -76.1378 1 1 0.0510999
1977 -77.4291 0 3 2.73829
2139 -80.108 1 3 2.88048
2301 -78.8596 1 4 0.00398865
712 -77.625 1 1 2.51087
783 -76.1378 1 1 0.0488812
1977 -77.4291 0 3 2.809
2139 -80.108 1 3 2.86164
2301 -78.8596 1 4 0.00368099
712 -77.625 1 1 2.62297
783 -76.1378 1 1 0.0456166
1977 -77.4291 0 3 2.73006
2139 -80.108 0 3 2.8643
2301 -78.8596 1 4 0.00348435
712 -77.625 1 1 2.63262
783 -76.1378 1 1 0.0440671
1977 -77.4291 0 3 2.85844
2139 -80.108 1 3 2.8584
2301 -78.8596 1 4 0.00336035
712 -77.625 1 1 2.63022
783 -76.1378 1 1 0.0450473
1977 -77.4291 0 3 2.77695
2139 -80.108 1 3 2.88227
2301 -78.8596 1 4 0.00315529
712 -77.625 1 1 2.61748
783 -76.1378 1 1 0.0421366
1977 -77.4291 0 3 2.84036
2139 -80.108 1 3 2.94671
2301 -78.8596 1 4 0.00301669
712 -77.625 1 1 2.59089
783 -76.1378 1 1 0.0403812
1977 -77.4291 0 3 2.82789
2139 -80.108 1 3 2.97415
2301 -78.8596 1 4 0.0029204
712 -77.625 1 1 2.71893
783 -76.1378 1 1 0.0391035
1977 -77.4291 0 3 2.92059
2139 -80.108 1 3 2.80379
2301 -78.8596 1 4 0.00279097
712 -77.625 1 1 2.73375
783 -76.1378 1 1 0.0377261
1977 -77.4291 0 3 2.88337
2139 -80.108 1 3 2.77982
2301 -78.8596 1 4 0.00266668
712 -77.625 1 1 2.69201
783 -76.1378 1 1 0.035889
1977 -77.4291 0 3 2.90593
2139 -80.108 1 3 2.76113
2301 -78.8596 1 4 0.00256584
712 -77.625 1 1 2.67355
783 -76.1378 1 1 0.0417385
1977 -77.4291 0 3 2.82022
2139 -80.108 1 3 2.97485
2301 -78.8596 1 4 0.00249447
712 -77.625 1 1 2.72738
783 -76.1378 1 1 0.0402237
1977 -77.4291 0 3 2.83459
2139 -80.108 1 3 2.87202
2301 -78.8596 1 4 0.00239912
712 -77.625 1 1 2.74345
783 -76.1378 1 1 0.0392285
1977 -77.4291 0 3 2.76394
2139 -80.108 1 3 2.90281
2301 -78.8596 0 4 0.00228491
712 -77.625 1 1 2.77369
783 -76.1378 1 1 0.0383272
1977 -77.4291 0 3 2.77506
2139 -80.108 1 3 2.8942
2301 -78.8596 1 4 0.00221359
712 -77.625 1 1 2.74579
783 -76.1378 1 1 0.0406427
1977 -77.4291 0 3 2.88905
2139 -80.108 1 3 2.90522
2301 -78.8596 1 4 0.00214706
712 -77.625 1 1 2.66437
783 -76.1378 1 1 0.0397926
1977 -77.4291 0 3 2.82781
2139 -80.108 1 3 2.91711
2301 -78.8596 1 4 0.00208177
712 -77.625 1 1 2.60601
783 -76.1378 1 1 0.0401334
1977 -77.4291 0 3 2.80367
2139 -80.108 1 3 3.00016
2301 -78.8596 1 4 0.0020314
712 -77.625 1 1 2.60829
783 -76.1378 1 1 0.0392496
1977 -77.4291 0 3 2.71859
2139 -80.108 1 3 2.94733
2301 -78.8596 1 4 0.00194856
712 -77.625 1 1 2.61222
783 -76.1378 1 1 0.0418474
1977 -77.4291 0 3 2.71995
2139 -80.108 1 3 2.89222
2301 -78.8596 1 4 0.00190394
712 -77.625 1 1 2.60815
783 -76.1378 1 1 0.0406444
1977 -77.4291 0 3 2.78761
2139 -80.108 1 3 2.92297
2301 -78.8596 1 4 0.00186595
712 -77.625 1 1 2.68528
783 -76.1378 1 1 0.0465591
1977 -77.4291 0 3 2.7248
2139 -80.108 1 3 2.90683
2301 -78.8596 1 4 0.00179268
712 -77.625 1 1 2.63412
783 -76.1378 1 1 0.0453022
1977 -77.4291 0 3 2.80615
2139 -80.108 1 3 2.91559
2301 -78.8596 1 4 0.00176046
712 -77.625 1 1 2.66704
783 -76.1378 1 1 0.0570372
1977 -77.4291 0 3 2.76232
2139 -80.108 1 3 2.8824
2301 -78.8596 1 4 0.00344815
712 -77.625 1 1 2.67942
783 -76.1378 1 1 0.0551733
1977 -77.4291 0 3 2.81084
2139 -80.108 1 3 2.90391
2301 -78.8596 1 4 0.00331974
712 -77.625 1 1 2.68499
783 -76.1378 1 1 0.0538086
1977 -77.4291 0 3 2.78304
2139 -80.108 1 3 2.95049
2301 -78.8596 1 4 0.00486153
712 -77.625 1 1 2.61768
783 -76.1378 1 1 0.0525818
1977 -77.4291 0 3 2.83134
2139 -80.108 1 3 2.94197
2301 -78.8596 1 4 0.00477082
712 -77.625 1 1 2.65711
783 -76.1378 1 1 0.052888
1977 -77.4291 0 3 2.79706
2139 -80.108 1 3 2.90713
2301 -78.8596 1 4 0.00462463
712 -77.625 1 1 2.63622
783 -76.1378 1 1 0.0517247
1977 -77.4291 0 3 2.82548
2139 -80.108 1 3 2.94776
2301 -78.8596 1 4 0.00454101
712 -77.625 0 1 2.64653
783 -76.1378 1 1 0.0504571
1977 -77.4291 0 3 2.81906
2139 -80.108 0 3 2.95152
2301 -78.8596 1 4 0.00444672
712 -77.625 1 1 2.6543
783 -76.1378 1 1 0.0494955
1977 -77.4291 0 3 2.83769
2139 -80.108 1 3 2.96619
2301 -78.8596 1 4 0.00434326
712 -77.625 1 1 2.66802
783 -76.1378 1 1 0.0537158
1977 -77.4291 0 3 2.88267
2139 -80.108 1 3 2.93918
2301 -78.8596 1 4 0.00422776
712 -77.625 1 1 2.68232
783 -76.1378 1 1 0.0525796
1977 -77.4291 0 3 2.84635
2139 -80.108 1 3 2.96298
2301 -78.8596 1 4 0.00414996
712 -77.625 1 1 2.6815
783 -76.1378 1 1 0.0520753
1977 -77.4291 0 3 2.81468
2139 -80.108 1 3 2.99062
2301 -78.8596 1 4 0.00405614
712 -77.625 1 1 2.65703
783 -76.1378 1 1 0.0503179
1977 -77.4291 0 3 2.82348
2139 -80.108 1 3 2.97779
2301 -78.8596 1 4 0.0039858
712 -77.625 0 1 2.63849
783 -76.1378 0 1 0.0522159
1977 -77.4291 0 3 2.8101
2139 -80.108 1 3 2.98982
2301 -78.8596 1 4 0.00394646
712 -77.625 1 1 2.67463
783 -76.1378 1 1 0.051009
1977 -77.4291 0 3 2.78276
2139 -80.108 1 3 3.00075
2301 -78.8596 1 4 0.00383978
712 -77.625 1 1 2.64258
783 -76.1378 1 1 0.0517366
1977 -77.4291 0 3 2.83589
2139 -80.108 1 3 2.96938
2301 -78.8596 1 4 0.00378703
712 -77.625 1 1 2.56686
783 -76.1378 1 1 0.0502983
1977 -77.4291 0 3 2.78938
2139 -80.108 1 3 3.00181
2301 -78.8596 1 4 0.0037121
712 -77.625 1 1 2.55575
783 -76.1378 1 1 0.0517648
1977 -77.4291 0 3 2.85261
2139 -80.108 1 3 2.96276
2301 -78.8596 1 4 0.00362002
712 -77.625 1 1 2.57857
783 -76.1378 1 1 0.05105
1977 -77.4291 0 3 2.81552
2139 -80.108 1 3 3.00103
2301 -78.8596 1 4 0.0035729
712 -77.625 1 1 2.55554
783 -76.1378 1 1 0.0501924
1977 -77.4291 0 3 2.8242
2139 -80.108 1 3 3.00466
2301 -78.8596 1 4 0.00348445
712 -77.625 1 1 2.61053
783 -76.1378 1 1 0.0492395
1977 -77.4291 0 3 2.82068
2139 -80.108 1 3 3.02387
2301 -78.8596 1 4 0.00344533
712 -77.625 1 1 2.60753
783 -76.1378 1 1 0.0622331
1977 -77.4291 0 3 2.81373
2139 -80.108 1 3 3.0075
2301 -78.8596 1 4 0.00337456
712 -77.625 1 1 2.62444
783 -76.1378 1 1 0.0613772
1977 -77.4291 0 3 2.79261
2139 -80.108 1 3 3.02277
2301 -78.8596 1 4 0.00331621
712 -77.625 1 1 2.62789
783 -76.1378 1 1 0.0619537
1977 -77.4291 0 3 2.81819
2139 -80.108 1 3 2.99964
2301 -78.8596 1 4 0.00325968
712 -77.625 1 1 2.64916
783 -76.1378 1 1 0.0614752
1977 -77.4291 0 3 2.82381
2139 -80.108 1 3 3.02819
2301 -78.8596 1 4 0.00320991
712 -77.625 1 1 2.66462
783 -76.1378 1 1 0.0601414
1977 -77.4291 0 3 2.78175
2139 -80.108 1 3 3.02215
2301 -78.8596 1 4 0.00315381
712 -77.625 1 1 2.65073
783 -76.1378 1 1 0.0592771
1977 -77.4291 0 3 2.74213
2139 -80.108 1 3 3.01915
2301 -78.8596 1 4 0.00310951
712 -77.625 1 1 2.66719
783 -76.1378 1 1 0.0582064
1977 -77.4291 0 3 2.75316
2139 -80.108 0 3 3.01663
2301 -78.8596 1 4 0.00306503
712 -77.625 1 1 2.66497
783 -76.1378 1 1 0.057568
1977 -77.4291 0 3 2.75202
2139 -80.108 1 3 3.03355
2301 -78.8596 1 4 0.00300921
712 -77.625 1 1 2.65149
783 -76.1378 1 1 0.0563521
1977 -77.4291 0 3 2.78146
2139 -80.108 1 3 3.01851
2301 -78.8596 1 4 0.00299679
712 -77.625 1 1 2.66622
783 -76.1378 1 1 0.0555099
1977 -77.4291 0 3 2.78384
2139 -80.108 1 3 3.006
2301 -78.8596 1 4 0.00292154
712 -77.625 1 1 2.67383
783 -76.1378 1 1 0.0548283
1977 -77.4291 0 3 2.78956
2139 -80.108 1 3 2.99078
2301 -78.8596 1 4 0.00289429
712 -77.625 1 1 2.67212
783 -76.1378 1 1 0.0539621
1977 -77.4291 0 3 2.78746
2139 -80.108 1 3 3.00488
2301 -78.8596 1 4 0.00283962
712 -77.625 1 1 2.66209
783 -76.1378 1 1 0.0532109
1977 -77.4291 0 3 2.799
2139 -80.108 1 3 3.00743
2301 -78.8596 1 4 0.00373158
712 -77.625 1 1 2.69352
783 -76.1378 1 1 0.052861
1977 -77.4291 0 3 2.79778
2139 -80.108 1 3 3.02186
2301 -78.8596 1 4 0.0036856
712 -77.625 1 1 2.66461
783 -76.1378 1 1 0.0520088
1977 -77.4291 0 3 2.81136
2139 -80.108 0 3 3.02603
2301 -78.8596 1 4 0.00365086
712 -77.625 1 1 2.69819
783 -76.1378 1 1 0.0510884
1977 -77.4291 0 3 2.80884
2139 -80.108 1 3 3.01857
2301 -78.8596 1 4 0.00358074
712 -77.625 1 1 2.69399
783 -76.1378 1 1 0.0523921
1977 -77.4291 0 3 2.80124
2139 -80.108 1 3 3.06451
2301 -78.8596 1 4 0.0035411
712 -77.625 1 1 2.70785
783 -76.1378 1 1 0.0515243
1977 -77.4291 0 3 2.75832
2139 -80.108 1 3 3.03656
2301 -78.8596 1 4 0.00348566
712 -77.625 1 1 2.71634
783 -76.1378 1 1 0.0527061
1977 -77.4291 0 3 2.79919
2139 -80.108 1 3 2.99542
2301 -78.8596 1 4 0.00344758
712 -77.625 1 1 2.68571
783 -76.1378 1 1 0.0521441
1977 -77.4291 0 3 2.77206
2139 -80.108 1 3 2.95389
2301 -78.8596 1 4 0.00339645
712 -77.625 1 1 2.68391
783 -76.1378 1 1 0.0527968
1977 -77.4291 0 3 2.8045
2139 -80.108 1 3 2.93009
2301 -78.8596 0 4 0.00336767
712 -77.625 1 1 2.69577
783 -76.1378 1 1 0.0521769
1977 -77.4291 0 3 2.77698
2139 -80.108 1 3 2.9589
2301 -78.8596 1 4 0.00331741
712 -77.625 1 1 2.69138
783 -76.1378 1 1 0.0624109
1977 -77.4291 0 3 2.79542
2139 -80.108 0 3 2.95262
2301 -78.8596 0 4 0.00327428
712 -77.625 1 1 2.69995
783 -76.1378 1 1 0.0615746
1977 -77.4291 0 3 2.78032
2139 -80.108 1 3 2.97957
2301 -78.8596 1 4 0.00325101
712 -77.625 1 1 2.67962
