ID  RSSI  Neighbors  Sources  Throughput
711 0 2 -1 0
781 0 3 -1 0
851 -72.556 2 0 0
1649 -75.7997 3 0 0
1810 -74.0875 4 0 0
1971 -76.5574 3 0 0
2132 -73.3798 2 0 0
2293 -82.0243 3 1 0
2454 -79.1415 2 1 0
711 -78.893 2 1 0
781 -78.2666 3 1 0
851 -72.556 2 0 0
1649 -74.4613 3 1 0
1810 -76.1327 4 1 0
1971 -78.508 3 3 0
2132 -77.1948 2 1 0
2293 -79.413 3 3 0
2454 -79.1415 2 1 0
711 -78.893 2 1 4.30524
781 -78.2666 3 1 0
851 -72.556 2 0 0
1649 -74.4613 3 1 3.02992
1810 -76.1327 4 1 23.6801
1971 -78.508 3 3 26.4366
2132 -77.1948 2 1 14.204
2293 -79.413 3 3 1.0293
2454 -79.1415 2 1 0.987471
711 -78.893 2 1 12.5093
781 -78.2666 3 1 0
851 -72.556 2 0 0
1649 -74.4613 3 1 2.1906
1810 -76.1327 4 1 17.4146
1971 -78.508 3 3 18.1451
2132 -77.1948 2 1 12.0989
2293 -79.413 3 3 0.625713
2454 -79.1415 2 1 0.634596
711 -77.4336 1 2 9.98694
851 -72.556 1 0 0
1649 -74.4613 3 1 2.59428
1810 -76.1327 3 1 22.9206
1971 -78.508 3 3 26.4732
2132 -77.1948 2 1 13.9489
2293 -79.413 3 3 1.02372
2454 -79.1415 2 1 0.517725
711 -77.4336 1 2 8.46421
851 -72.556 1 0 0
1649 -74.4613 3 1 2.18481
1810 -76.1327 3 1 19.0891
1971 -78.508 3 3 24.1567
2132 -77.1948 2 1 12.0012
2293 -79.413 3 3 0.875729
2454 -79.1415 2 1 0.460546
711 -77.4336 1 2 10.7852
851 -72.556 1 0 0
1649 -74.4613 3 1 2.17134
1810 -76.1327 3 1 20.0546
1971 -78.508 3 3 36.3867
2132 -77.1948 2 1 10.5456
2293 -79.413 3 3 0.749188
2454 -79.1415 2 1 0.366782
711 -77.4336 1 2 9.61725
851 -72.556 1 0 0
