,PacketsSent,PacketsSentFLC,PacketsSentRO,PacketsReceived,PacketsReceivedFLC,PacketsReceivedRO,PacketsLost(%),PacketsLostFLC(%),PacketsLostRO(%),Jitter,JitterFLC,JitterRO,Latency,LatencyFLC,LatencyRO,PowerConsumed(W),PowerConsumedFLC(W),PowerConsumedRO(W)
T1,15936.0,15851.0,16050.0,14501.0,14298.0,12634.0,9.004769076305221,9.797489117405842,21.28348909657321,0.020650030711190037,0.0433958601362192,0.018280240759565768,0.09186702933917838,0.1140757172487316,0.06828206189051,4.794096392035624,2.7022914843737906,2.7191324293211663
T2,19829.0,20525.0,22469.0,18554.0,19175.0,20564.0,6.429976297342276,6.577344701583435,8.478347946059015,0.017138913516271212,0.0273926029925808,0.0122074203938239,0.09265544885275913,0.10932417499756938,0.07687198977381814,4.867215253658325,2.7376789692821224,2.823103943576128
T3,50541.0,51321.0,53428.0,43168.0,42090.0,45073.0,14.588156150452107,17.986789033728883,15.63786778468219,0.7779399670123072,0.027636303651472006,0.5132459580747661,0.5804877569515332,0.20789961385567962,0.43712875016326863,5.308743814568121,3.0230691358397888,3.051950252144623
T4,63429.0,63303.0,62340.0,40958.0,40801.0,41670.0,35.4270128805436,35.54649858616495,33.156881616939366,0.09544026932600937,0.0190600126515686,0.019129473942976497,0.17505736062153499,0.15791216398220917,0.2308219389772568,5.26655464955467,3.0016118736839115,3.0640586290257867
T5,164594.0,164696.0,158656.0,69031.0,69392.0,68245.0,58.05983207164295,57.8666148540341,56.985553650665594,0.2580874119866447,0.0350832388572284,0.013806264504978974,0.3699468650258734,0.24129237384529714,0.236720511569405,5.8030582357156275,3.278441327119913,3.4598870628468337
T6,248135.0,240272.0,247936.0,60405.0,59747.0,58806.0,75.65639671952768,75.13359858826664,76.28178239545689,0.22843515168224168,0.19443945098931797,0.13536201417614682,0.29309935585929126,0.26374655029251376,0.2291830063391396,5.6468655653931705,3.2563828459261686,3.267059242695162
T7,623270.0,642655.0,638302.0,92656.0,99883.0,103404.0,85.13389060920629,84.45775727256459,83.8001447590639,2.6165464655304036,11.193403860109902,1.7958023181325287,4.712802136605893,12.426809215677768,5.565372850998038,6.247553286027793,3.452089961244208,3.851324581341165
T8,493096.0,457915.0,469496.0,90955.0,92847.0,96459.0,81.55430179924396,79.72396623827566,79.45477703750404,0.09474398132698846,0.04404496705185767,0.07857617812582525,0.6082499028571147,0.6388473604564172,0.6565347943630969,5.877980320058877,3.4933170401157896,3.6934204414533385
T9,983809.0,934013.0,946876.0,80620.0,81457.0,84046.0,91.8053199350687,91.27881517709068,91.12386415961541,0.9466811288133208,0.38623062597509783,0.26858156245931,1.8527942090177214,1.8899922325620329,1.5436466399755748,6.119626069897496,3.566970849220502,3.6648335216240375
T10,820186.0,791692.0,833042.0,92044.0,92312.0,95377.0,88.77766750468795,88.33990996498639,88.55075734476773,0.05407323812260383,0.0368672130763736,0.03969372953547533,0.5961734077924091,0.7658388292677999,0.6129804519434254,5.887047215560085,3.4184130557297485,3.6324777334939577
