,PacketsSent,PacketsSentRO,PacketsSentFLC,PacketsSentFLCAG,PacketsReceived,PacketsReceivedRO,PacketsReceivedFLC,PacketsReceivedFLCAG,PacketsLost(%),PacketsLostRO(%),PacketsLostFLC(%),PacketsLostFLCAG(%),Jitter,JitterRO,JitterFLC,JitterFLCAG,Latency,LatencyRO,LatencyFLC,LatencyFLCAG,PowerConsumed(W),PowerConsumedRO(W),PowerConsumedFLC(W),PowerConsumedFLCAG(W),Min Consump Possible,diff
T1,832.0,850.0,853.0,820.0,832.0,840.0,846.0,812.0,0.0,1.1764705882352942,0.82063305978898,0.975609756097561,0.00624328480073425,0.0092956408127974,0.00605719218207045,0.00567553613754085,0.011909994407071502,0.021178849477998,0.025684266221375998,0.0110174259662605,1.5239444134200844,1.0260966551437094,1.0203301589494156,1.0197329964494164,1.0159629422800562,0.14660549038440251
T2,859.0,867.0,953.0,953.0,848.0,848.0,940.0,940.0,1.280558789289872,2.1914648212226067,1.3641133263378804,1.3641133263378804,0.015431269699114,0.022478398469120666,0.017779420034906998,0.017779384781922,0.046713051183187,0.08349072835895832,0.046740970305676505,0.0467409023931925,1.5603068842547505,1.0427931316298327,1.0459754089497495,1.0459754089497495,1.040204589503167,0.14660549038440251
T3,2585.0,2406.0,2558.0,2582.0,2547.0,2348.0,2519.0,2529.0,1.4700193423597678,2.4106400665004157,1.5246286161063332,2.0526723470178156,0.0248270048330345,0.020994948868671332,0.0262711101214815,0.024604275397926,0.0914497474791105,0.13224998554179265,0.0945090514624275,0.0935996957456095,1.654419096756207,1.0949142982966256,1.1001261705885819,1.1012413638819585,1.102946064504138,0.14660549038440251
T4,3197.0,3624.0,3575.0,3457.0,3135.0,3580.0,3514.0,3395.0,1.9393181107288082,1.2141280353200883,1.7062937062937062,1.7934625397743709,0.022911739967588,0.017489147763627,0.02632944397274,0.02598677645487,0.132486031512196,0.14393024443517002,0.15208231925315002,0.14061106422091502,1.6927208175903747,1.1409993506132499,1.1419595172831236,1.136241708949793,1.1284805450602498,0.14660549038440251
T5,6589.0,6551.0,6782.0,7067.0,6490.0,6418.0,6689.0,6947.0,1.5025041736227045,2.030224393222409,1.371276909466234,1.698033111645677,0.024652894058728503,0.021116452556420667,0.028028927994596504,0.028083391084020002,0.250777522635795,0.30183519757728333,0.25791850118046,0.27559590451672,1.8674720286896256,1.2386795451133328,1.250453753003751,1.285400280725501,1.2449813524597504,0.14660549038440251
T6,19417.0,18048.0,20365.0,19276.0,18899.0,17678.0,19929.0,18639.0,2.6677653602513263,2.0500886524822697,2.140928062852934,3.3046275160821748,0.011656432103307399,0.008912067507797466,0.011507296527218248,0.01124960211750305,0.20620589478537,0.18113074856383668,0.20037106048883002,0.19083128815211498,1.861918403298292,1.2312601700021673,1.2606856470487495,1.2443404955172506,1.2412789355321947,0.14660549038440251
T7,38086.0,40145.0,39795.0,35542.0,37720.0,37848.0,39560.0,35360.0,0.9609830383868088,5.721758624984432,0.590526448046237,0.5120702267739575,0.00645088324125925,0.0041874408940273,0.006842732633041649,0.0064872262820688,0.20547651085973,0.25296893191072,0.235822867977255,0.2021580842326,1.9272140803372926,1.4279185058710842,1.328117225996624,1.2937213983166658,1.2848093868915285,0.14660549038440251
T8,39783.0,39323.0,39817.0,40470.0,39377.0,38234.0,39218.0,40027.0,1.0205364100243823,2.769371614576711,1.504382550167014,1.0946380034593526,0.0054538173104395505,0.0041295022330442,0.00553076774763885,0.00668673092951665,0.24272526101021002,0.24094115096367003,0.246214783440185,0.23166778693943502,1.9180106231181677,1.3871960794389566,1.311380477260292,1.3147034843784164,1.2786737487454451,0.14660549038440251
T9,26045.0,26643.0,27987.0,28650.0,25937.0,26220.0,27344.0,27634.0,0.41466692263390287,1.5876590474045715,2.297495265659056,3.5462478184991273,0.014199618219264899,0.0042636232803341,0.0207221403164141,0.02324308616256775,0.12476358899942651,0.22468694342904003,0.1395867031733285,0.139883372949446,1.7831358496257508,1.2846281074712502,1.212299286168665,1.214595509543625,1.1887572330838339,0.14660549038440251
T10,35838.0,33555.0,37438.0,37277.0,35198.0,32309.0,35632.0,35178.0,1.785813940510073,3.7133065116972137,4.8239756397243445,5.630817930627464,0.02846724783873485,0.011305953940235433,0.027176463508781102,0.027480162179813347,0.17155265610786952,0.2760114551954726,0.16538134572020702,0.163834968015265,1.8834096237370412,1.2528668935882517,1.2755832672585825,1.2723540575570838,1.2556064158246942,0.14660549038440251
