,PacketsSent,PacketsReceived,PacketsLost(%),Jitter,Latency,PowerConsumed(W)
T1,2446.0,2393.0,2.166802943581357,0.01144540426929024,0.019168718211701,18.580939062610796
T2,3474.0,3357.0,3.3678756476683938,0.010569765958101138,0.021644607860801454,18.596323564044496
T3,8352.0,7633.0,8.608716475095786,0.011783795430845779,0.041292702460419696,18.664363231818196
T4,12488.0,11586.0,7.22293401665599,0.014863028461898081,0.05335949615804225,18.725433436859134
T5,26688.0,24588.0,7.868705035971223,0.026669167333804235,0.09157121214089053,18.929107877275623
T6,44649.0,41321.0,7.453694371654461,0.021123169701542623,0.12438517174633248,19.203373887950782
T7,129371.0,93141.0,28.004730581042118,0.9776278338740065,0.8109027060392918,20.087797923014204
T8,120156.0,80135.0,33.30753353973168,0.1754778114148023,0.2669300360866316,19.82262579026796
T9,252877.0,93897.0,62.86850919617047,6.292492269654904,3.780459127573155,20.243944321501665
T10,200645.0,96068.0,52.12041167235665,0.2033998650059786,0.3147182569804014,20.08491704291505
