,PacketsSentFLC,PacketsReceivedFLC,PacketsLostFLC(%),JitterFLC,LatencyFLC,PowerConsumedFLC(W)
T1,811.0,394.0,51.418002466091245,0.0038881713969719,0.01455483152979645,0.5151841097128738
T2,831.0,430.0,48.25511432009627,0.0483309582975892,0.111616224752823,0.5216654972128746
T3,2407.0,841.0,65.06024096385542,0.017486630555228,0.1343946073803805,0.5319582430462086
T4,3219.0,1576.0,51.04069586828208,0.0228949387394225,0.14797432829622748,0.5496069763794992
T5,6940.0,3354.0,51.671469740634,0.022073594564723,0.270369584126315,0.5908866013792495
T6,19289.0,6220.0,67.75364197210845,0.00579599280158,0.099210475987036,0.5766416055440005
T7,38084.0,13082.0,65.6496166369079,0.0032876104943439,0.099377840836051,0.6069490347073744
T8,40563.0,20267.0,50.03574686290462,0.007829736629857899,0.17312687359714,0.6498723888745
T9,28740.0,141.0,99.50939457202506,0.001556621142416175,0.0360211200498193,0.5117645055462503
T10,35262.0,255.0,99.2768419261528,0.00197447400050105,0.035813950322237505,0.5126419180462506
