,PacketsSent,PacketsSentFLC,PacketsSentRO,PacketsReceived,PacketsReceivedFLC,PacketsReceivedRO,PacketsLost(%),PacketsLostFLC(%),PacketsLostRO(%),Jitter,JitterFLC,JitterRO,Latency,LatencyFLC,LatencyRO,PowerConsumed(W),PowerConsumedFLC(W),PowerConsumedRO(W)
T1,911.0,857.0,795.0,905.0,854.0,788.0,0.6586169045005489,0.3500583430571762,0.8805031446540881,0.00499368842992735,0.0046900918584992,0.003929812355001934,0.009595994683877649,0.016904852003205732,0.013242386695504168,1.5177829759208747,1.0158708381163326,1.0154486191297925
T2,875.0,926.0,884.0,872.0,924.0,877.0,0.34285714285714286,0.2159827213822894,0.7918552036199095,0.0035255745765546,0.00346767351063695,0.0036860901855064326,0.00797747244314025,0.017933477039212265,0.010950328634855932,1.5168562467542908,1.0161544756162906,1.015845310796334
T3,2586.0,2562.0,2494.0,2568.0,2554.0,2470.0,0.6960556844547564,0.312256049960968,0.9623095429029671,0.0047307118773981995,0.00451681784130865,0.0036760985980335997,0.016379280770385002,0.01623630391335,0.018674936472864334,1.5345586987067918,1.028605663115917,1.028004048296043
T4,3213.0,3668.0,3536.0,3203.0,3652.0,3505.0,0.3112356053532524,0.4362050163576881,0.8766968325791855,0.0045629156707295004,0.0046709416573419,0.004082299410113534,0.022645268729721002,0.025642603218975997,0.027048482620049667,1.5415270050884582,1.037342358949083,1.0361645441292089
T5,6659.0,6855.0,6135.0,6592.0,6801.0,6047.0,1.0061570806427391,0.787746170678337,1.4343928280358598,0.0048050774230454,0.0049340962015286495,0.003958040400388233,0.042814532223850996,0.0443329269940355,0.045365782870257665,1.5762676925895827,1.061756854781792,1.055839832536583
T6,20880.0,19219.0,19073.0,20010.0,18605.0,18458.0,4.166666666666667,3.1947551901763878,3.2244534158234153,0.010682762248448299,0.010804588588733451,0.009018173436092798,0.10550775626081801,0.094482193273282,0.09432417106574036,1.7146602350227491,1.1492166174905833,1.1492822024592917
T7,39043.0,38839.0,39127.0,38721.0,38271.0,38510.0,0.824731706067669,1.4624475398439714,1.5769161959772025,0.0075244118471637506,0.0083633032007653,0.03949139289609777,0.18292600563115502,0.15085919168078335,0.2750382879334767,1.9048592652330418,1.2977847343279563,1.3007753634437507
T8,38916.0,40470.0,42175.0,38414.0,40027.0,41413.0,1.2899578579504574,1.0946380034593526,1.8067575577949022,0.0057658541137142,0.00668673092951665,0.004304194299622833,0.24110626033841998,0.23166778693943502,0.3120532712234366,1.9097540732992095,1.3147034843784164,1.328708637251583
T9,25951.0,28870.0,30758.0,25826.0,28063.0,30189.0,0.4816770066664098,2.7952892275718737,1.849925222706288,0.01320888131720935,0.014016229353085349,0.012593316299508167,0.11060009556716349,0.11619459179621851,0.24422951928333136,1.7597342400117915,1.2047369913216244,1.2213160935800829
T10,37517.0,36007.0,32170.0,36569.0,33616.0,31620.0,2.5268544926300076,6.6403754825450605,1.7096673919801058,0.018277106622416047,0.01855464850754485,0.0098107469400659,0.1503848423099525,0.14310589806801252,0.24774654741729032,1.8659355609540833,1.244502703882792,1.2323695963072907
