,PacketsSent,PacketsSentFLC,PacketsSentRO,PacketsReceived,PacketsReceivedFLC,PacketsReceivedRO,PacketsLost(%),PacketsLostFLC(%),PacketsLostRO(%),Jitter,JitterFLC,JitterRO,Latency,LatencyFLC,LatencyRO,PowerConsumed(W),PowerConsumedFLC(W),PowerConsumedRO(W),Th/Wl(%),Th/WlFLC(%),Th/WlRO(%)
T1,26276.0,26276.0,26276.0,17799.0,21725.0,19663.0,32.2613792053585,17.31998782158624,25.167453189222105,0.014540706659688,0.041217835129925835,0.021549910045672496,0.030920874427363503,0.03619921047283787,0.029815067361740798,8.27529470157408,4.532053790930452,4.518696536811414,100.3820293398533,100.3820293398533,100.3820293398533
T2,37481.0,37481.0,37481.0,27742.0,34992.0,25998.0,25.98383180811611,6.640697953629839,30.63685600704357,0.5263864374069079,0.0436138408697005,0.09910613860530254,0.2860124333563664,0.03727957719608412,0.06897876726793911,8.658214616461708,4.685806606681073,4.6260579394337435,99.60933347507175,99.60933347507175,99.60933347507175
T3,82880.0,82880.0,82880.0,39401.0,63690.0,53901.0,52.460183397683394,23.15395752895753,34.96500965250965,7.07990073545719,5.87194469066861,3.828874847960361,5.362236961914017,3.133075540687083,2.3075920387226376,9.230934644994507,5.2225937771681625,5.34490830390276,99.62496393884027,99.62496393884027,99.62496393884027
T4,142673.0,142673.0,142673.0,41244.0,75876.0,67747.0,71.0919375074471,46.818248722603435,52.51589298605903,11.530312743601069,7.643327695737006,0.6777658121065019,7.295447329936465,4.94023122223315,1.1629501324688312,9.346908942830707,5.346601041507491,5.390098728213199,99.58747487156577,99.58747487156577,99.58747487156577
T5,283239.0,283239.0,283239.0,40584.0,95773.0,49000.0,85.67146473472933,66.18650680167632,82.70012251137732,4.785864081324831,0.3405446718847187,11.99291423190054,3.9239110600586686,1.2328926944550134,7.241159565279517,9.355274971047743,5.481279688162302,5.26480697730567,99.58827045462536,99.58827045462536,99.58827045462536
T6,403583.0,403583.0,403583.0,49923.0,93669.0,108414.0,87.63005379314788,76.79064777257715,73.1371242098899,5.003793160960805,2.9879875844935238,0.6116114293372565,3.2278473680068025,2.513987667462733,0.6395218901482275,9.389436327287626,5.590343324648992,5.752265496783336,99.58520865411188,99.58520865411188,99.58520865411188
T7,1278825.0,1278825.0,1278825.0,37811.0,97564.0,46229.0,97.04330146814459,92.37080914120384,96.38504095556468,11.00336709093651,0.2954313611063183,4.428477044429328,7.577827624060194,1.4596120954036576,3.0289059220783967,9.277789343201091,5.679745221677915,5.02399323273875,99.5839329433532,99.5839329433532,99.5839329433532
T8,967152.0,967152.0,967152.0,54992.0,90181.0,88365.0,94.31402716429268,90.67561252005889,90.86338031664103,4.061199833696716,4.109824958853095,0.07787178409485372,2.477861787326184,2.765925396479231,0.23757841010672476,9.601392062514241,5.579359996737905,5.51908525125372,99.58483665299264,99.58483665299264,99.58483665299264
T9,2236383.0,2236383.0,2236383.0,39326.0,94665.0,85501.0,98.24153555093201,95.76704884628438,96.17681765600973,8.821633373418845,0.3746532958558748,0.44902946304943864,5.963774706582892,2.118136796607795,0.9265722979279811,9.343899541053247,5.489490178522374,5.547513915174743,99.58361052555645,99.58361052555645,99.58361052555645
T10,1603796.0,1603796.0,1603796.0,55719.0,88999.0,78949.0,96.52580502757209,94.45072814747013,95.07736644810188,1.2432392042642852,0.39287145365816883,0.10337221861891542,1.0394147131794502,0.604414353988655,0.269550231207967,9.585245563008788,5.569707498062204,5.131772954470671,99.58373176032288,99.58373176032288,99.58373176032288
