,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
PacketsSent,832.0,859.0,2585.0,3197.0,6589.0,19417.0,38086.0,39783.0,26045.0,35838.0
PacketsSentFLC,853.0,953.0,2558.0,3575.0,6782.0,20365.0,39795.0,39817.0,27987.0,37438.0
PacketsSentRO,827.0,817.0,2578.0,3624.0,6551.0,19222.0,40119.0,41373.0,26643.0,32987.0
PacketsReceived,832.0,848.0,2547.0,3135.0,6490.0,18899.0,37720.0,39377.0,25937.0,35198.0
PacketsReceivedFLC,846.0,940.0,2519.0,3514.0,6689.0,19929.0,39560.0,39218.0,27344.0,35632.0
PacketsReceivedRO,816.0,803.0,2535.0,3580.0,6418.0,18610.0,37777.0,40915.0,26220.0,32349.0
PacketsLost(%),0.0,1.280558789289872,1.4700193423597678,1.9393181107288082,1.5025041736227045,2.6677653602513263,0.9609830383868088,1.0205364100243823,0.41466692263390287,1.785813940510073
PacketsLostFLC(%),0.82063305978898,1.3641133263378804,1.5246286161063332,1.7062937062937062,1.371276909466234,2.140928062852934,0.590526448046237,1.504382550167014,2.297495265659056,4.8239756397243445
PacketsLostRO(%),1.3301088270858525,1.7135862913096696,1.6679596586501164,1.2141280353200883,2.030224393222409,3.1838518364374155,5.83763304170094,1.1070021511613855,1.5876590474045715,1.934095249643799
Jitter,0.00624328480073425,0.015431269699114,0.0248270048330345,0.022911739967588,0.024652894058728503,0.011656432103307399,0.00645088324125925,0.0054538173104395505,0.014199618219264899,0.02846724783873485
JitterFLC,0.00605719218207045,0.017779420034906998,0.0262711101214815,0.02632944397274,0.028028927994596504,0.011507296527218248,0.006842732633041649,0.00553076774763885,0.0207221403164141,0.027176463508781102
JitterRO,0.0056481107824599,0.012957080807571,0.016018298657976004,0.017489147763627,0.021116452556420667,0.015293459447427,0.005195951771182999,0.004836222363058899,0.0042636232803341,0.0044407914272954
Latency,0.011909994407071502,0.046713051183187,0.0914497474791105,0.132486031512196,0.250777522635795,0.20620589478537,0.20547651085973,0.24272526101021002,0.12476358899942651,0.17155265610786952
LatencyFLC,0.025684266221375998,0.046740970305676505,0.0945090514624275,0.15208231925315002,0.25791850118046,0.20037106048883002,0.235822867977255,0.246214783440185,0.1395867031733285,0.16538134572020702
LatencyRO,0.022878509661794832,0.042070364300623005,0.10461446596210001,0.14393024443517002,0.30183519757728333,0.23992692074404,0.25894115377167004,0.2959653255607733,0.22468694342904003,0.25678967943402
PowerConsumed(W),1.5239444134200844,1.5603068842547505,1.654419096756207,1.6927208175903747,1.8674720286896256,1.861918403298292,1.9272140803372926,1.9180106231181677,1.7831358496257508,1.8834096237370412
PowerConsumedFLC(W),1.0203301589494156,1.0459754089497495,1.1001261705885819,1.1419595172831236,1.250453753003751,1.2606856470487495,1.328117225996624,1.311380477260292,1.212299286168665,1.2755832672585825
PowerConsumedRO(W),1.0199516774628345,1.0418383881113755,1.125241782978666,1.1409993506132499,1.2386795451133328,1.2742340815370823,1.3853452937139574,1.3239702034264156,1.2846281074712502,1.3002626255163325
