,PacketsSent,PacketsReceived,PacketsLost(%),Jitter,Latency,PowerConsumed(W),Th/Wl(%)
T1,8491.0,8035.0,5.370392179955247,0.010215469149639599,0.040372731704295256,4.62057179028183,54.408560809944895
T2,11997.0,11528.0,3.909310660998583,0.011134364689915426,0.04226503001200513,4.658552159940291,56.34510614315236
T3,21652.0,20442.0,5.588398300387955,0.01654292842899356,0.07751567099171701,4.754262772174127,41.87197834074647
T4,18490.0,17405.0,5.8680367766360195,0.014109612217113775,0.05044268007913,4.718708844416794,30.00064901349948
T5,28580.0,26360.0,7.7676696990902725,0.014130642606024252,0.08004991662040238,4.8213860036217095,17.64633242775994
T6,26576.0,24441.0,8.033564118001204,0.0120277944094876,0.06588230158645475,4.794630064299088,10.953754842964306
T7,40512.0,35505.0,12.359300947867299,0.018130900382722324,0.10133761100123988,4.913748929218794,6.313387898093143
T8,25869.0,22347.0,13.614751246665893,0.01433930415909805,0.060911742284329,4.743451201485042,5.327399584829813
T9,41257.0,33870.0,17.904840390721574,0.017659506536532175,0.08095712815078263,4.8950944352015044,4.287216598117478
T10,32311.0,25909.0,19.813685741697874,0.014737433706649539,0.0648482055454955,4.7713735915234565,4.012592519000546
