,PacketsSent,PacketsReceived,PacketsLost(%),Jitter,Latency,PowerConsumed(W),Th/Wl(%)
T1,5572.0,5489.0,1.4895908111988514,0.008077452275925268,0.022886649611988667,1.545921864324625,53.97132894227044
T2,6001.0,5944.0,0.9498416930511582,0.012125311771200532,0.02652143511534333,1.5479223842713736,56.7631479379493
T3,13113.0,12981.0,1.00663463738275,0.0080157494513531,0.042339697924001336,1.5953071229850422,41.70005724098454
T4,12179.0,11798.0,3.128335659742179,0.006316866421506633,0.04251422247779366,1.5886351921356245,29.722276454509956
T5,14208.0,13822.0,2.716779279279279,0.0048144898857820665,0.04259825745660967,1.5995469051010824,166.7605633802817
T6,26717.0,26260.0,1.7105213908747239,0.010083527407801567,0.080823864967898,1.6855045593601232,11.071925869442694
T7,31081.0,30587.0,1.5893954505968277,0.008891484454385366,0.09588604824095433,1.7154011324041258,6.442806386215989
T8,24620.0,24242.0,1.5353371242891958,0.008476710836996033,0.081671035208205,1.6722896236203326,5.109070987449366
T9,14034.0,13974.0,0.4275331338178709,0.013174331227645435,0.03866175842104367,1.5957937468003744,4.354706583258862
T10,15622.0,15450.0,1.101011394187684,0.011036590186967066,0.045410516933961996,1.6076291527856257,3.867789056697202
