,PacketsSent,PacketsReceived,PacketsLost(%),Jitter,Latency,PowerConsumed(W),Th/Wl(%)
T1,8424.0,8074.0,4.154795821462488,0.01024428965828297,0.04098428242682325,4.624478175384874,53.97923875432526
T2,11806.0,11455.0,2.9730645434524816,0.011484312766907987,0.04015823854092375,4.662844614503585,55.448055607739995
T3,20971.0,19900.0,5.107052596442706,0.013562811268778074,0.07725010773743199,4.759059371913542,40.55501837168826
T4,17640.0,16772.0,4.920634920634921,0.011082724666690238,0.05163822442003299,4.726382667673791,28.621495327102803
T5,26971.0,25090.0,6.974157428348968,0.010525194545666814,0.07863930238699926,4.822132522968665,16.652877253642874
T6,26608.0,24349.0,8.489927841250752,0.012379177156191076,0.070532539205514,4.807964594538919,10.966944192564505
T7,41345.0,38914.0,5.879791994195187,0.030652908228298616,0.12222787458899376,4.99244679256454,6.443202573229191
T8,26987.0,26148.0,3.1089042872494166,0.01512430935909185,0.06604758886013726,4.778382028026166,5.557637813437016
T9,42998.0,41068.0,4.488580864226243,0.015875275131078413,0.10052639863155863,4.990604230543454,4.46813242082205
T10,32399.0,31467.0,2.876631994814655,0.013736013702376723,0.07226448968168063,4.821134629687955,4.023520937857036
