,PacketsSent,PacketsReceived,PacketsLost(%),Jitter,Latency,PowerConsumed(W),Th/Wl(%)
T1,14878.0,9727.0,34.62158892324237,0.016130461106331425,0.0435605598162684,7.66079036878992,56.83832518337408
T2,20506.0,13455.0,34.38505803179557,0.0155340694664609,0.0509070555208333,7.704348816714295,54.49665142978633
T3,33129.0,23578.0,28.82972622173926,0.039117579443209,0.09388087703741861,7.796878809046886,39.82233868641215
T4,42874.0,28447.0,33.649764425992444,0.018328701032610653,0.08823799233735481,7.868431409241248,29.926569131114586
T5,52383.0,33997.0,35.099173395949066,0.02984433529632376,0.1067780285094567,7.934506876982527,18.41812875777926
T6,45519.0,26142.0,42.56903710538457,0.02440935322594437,0.0702518063325542,7.807115924473078,11.231937699869714
T7,82620.0,53236.0,35.565238441055435,0.08733370850470507,0.16864195837347568,8.108682628987086,6.4337376418038765
T8,53420.0,24694.0,53.773867465368774,0.027647950834642786,0.07524917772680238,7.805215627572329,5.500502479447767
T9,96237.0,54417.0,43.45521992580816,0.016166004037874642,0.1310257113926151,8.142368110863542,4.285324976154789
T10,63149.0,26637.0,57.81880948233543,0.01669720501573625,0.0715288523641901,7.812439618076708,3.921080409810618
